game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2018_01_ATL_PHI,ATL,00-0026143,M.Ryan,49,-10.7766,-254.6779,39
2018_01_ATL_PHI,PHI,00-0029567,N.Foles,36,-11.1643,-412.2565,34
2018_01_ATL_PHI,PHI,00-0031549,N.Agholor,1,1.9315,37.3341,1
2018_01_BUF_BAL,BAL,00-0026158,J.Flacco,36,8.9843,72.9098,34
2018_01_BUF_BAL,BAL,00-0034796,L.Jackson,6,-2.3669,-78.8258,3
2018_01_BUF_BAL,BUF,00-0033958,N.Peterman,22,-24.7672,-659.771,18
2018_01_BUF_BAL,BUF,00-0034857,J.Allen,20,-1.8173,-184.2739,14
2018_01_CHI_GB,CHI,00-0033869,M.Trubisky,43,-5.283,57.3446,33
2018_01_CHI_GB,GB,00-0023459,A.Rodgers,33,10.2291,116.0885,29
2018_01_CHI_GB,GB,00-0033899,D.Kizer,9,-7.9044,-37.7103,7
2018_01_CIN_IND,CIN,00-0027973,A.Dalton,32,3.1526,106.9841,28
2018_01_CIN_IND,IND,00-0029668,A.Luck,56,8.9777,163.8699,52
2018_01_DAL_CAR,CAR,00-0027939,C.Newton,29,-1.34,-5.8688,25
2018_01_DAL_CAR,DAL,00-0033077,D.Prescott,39,-8.0059,-78.5857,29
2018_01_HOU_NE,HOU,00-0033537,D.Watson,42,-4.9492,-330.711,34
2018_01_HOU_NE,NE,00-0019596,T.Brady,41,8.1829,78.2927,39
2018_01_JAX_NYG,JAX,00-0031407,B.Bortles,35,-4.5525,-397.2245,33
2018_01_JAX_NYG,NYG,00-0022803,E.Manning,40,-12.2064,-163.8249,36
2018_01_KC_LAC,KC,00-0033873,P.Mahomes,29,13.6705,68.9181,25
2018_01_KC_LAC,LAC,00-0022942,P.Rivers,54,16.118,183.1732,50
2018_01_LA_OAK,LA,00-0033106,J.Goff,34,5.4769,-312.5067,33
2018_01_LA_OAK,LV,00-0031280,D.Carr,42,-12.7933,141.2707,38
2018_01_NYJ_DET,DET,00-0023662,M.Cassel,6,-8.0344,-237.8341,6
2018_01_NYJ_DET,DET,00-0026498,M.Stafford,47,-15.6255,-536.3495,46
2018_01_NYJ_DET,NYJ,00-0034869,S.Darnold,23,7.2839,216.8328,20
2018_01_PIT_CLE,CLE,00-0028118,T.Taylor,53,-12.2429,-762.4597,38
2018_01_PIT_CLE,PIT,00-0022924,B.Roethlisberger,46,-4.2771,-409.5072,41
2018_01_SEA_DEN,DEN,00-0028986,C.Keenum,40,-3.8372,-22.0334,39
2018_01_SEA_DEN,SEA,00-0029263,R.Wilson,40,5.2201,-103.6366,33
2018_01_SF_MIN,MIN,00-0029604,K.Cousins,43,0.0001,-443.9938,35
2018_01_SF_MIN,SF,00-0031345,J.Garoppolo,38,-12.9257,-561.8991,32
2018_01_TB_NO,NO,00-0020531,D.Brees,47,23.3266,577.9918,44
2018_01_TB_NO,TB,00-0023682,R.Fitzpatrick,34,29.2342,358.7388,28
2018_01_TEN_MIA,MIA,00-0029701,R.Tannehill,29,2.2101,178.0129,28
2018_01_TEN_MIA,TEN,00-0027948,B.Gabbert,22,-6.9513,-451.0209,22
2018_01_TEN_MIA,TEN,00-0032268,M.Mariota,17,-10.586,-120.5851,16
2018_01_WAS_ARI,ARI,00-0027854,S.Bradford,38,-14.4402,-434.2036,34
2018_01_WAS_ARI,WAS,00-0023436,A.Smith,36,12.7374,41.3152,29
2018_02_ARI_LA,ARI,00-0027854,S.Bradford,28,-13.0687,-185.0202,27
