game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2021_01_ARI_TEN,ARI,00-0035228,K.Murray,35,12.7137,162.6224,32
2021_01_ARI_TEN,TEN,00-0029701,R.Tannehill,43,-17.2591,-229.6929,35
2021_01_ARI_TEN,TEN,00-0032496,M.Farley,1,3.0623,31.0209,1
2021_01_BAL_LV,BAL,00-0034796,L.Jackson,39,2.5678,-122.6257,29
2021_01_BAL_LV,LV,00-0031280,D.Carr,59,8.597,-176.304,52
2021_01_CHI_LA,CHI,00-0027973,A.Dalton,43,-9.7973,-190.2628,38
2021_01_CHI_LA,CHI,00-0036945,J.Fields,2,0.3974,49.651,2
2021_01_CHI_LA,LA,00-0026498,M.Stafford,27,18.8486,214.8543,26
2021_01_CLE_KC,CLE,00-0031382,J.Landry,1,1.49,0.0,0
2021_01_CLE_KC,CLE,00-0034855,B.Mayfield,31,10.7766,384.6632,27
2021_01_CLE_KC,KC,00-0033873,P.Mahomes,42,23.2389,542.1837,34
2021_01_DAL_TB,DAL,00-0033077,D.Prescott,62,13.8465,368.6931,57
2021_01_DAL_TB,TB,00-0019596,T.Brady,50,14.007,145.4282,45
2021_01_DEN_NYG,DEN,00-0031237,T.Bridgewater,41,24.4699,539.6903,35
2021_01_DEN_NYG,NYG,00-0035710,D.Jones,42,-1.6563,-125.9622,36
2021_01_GB_NO,GB,00-0023459,A.Rodgers,29,-15.9497,-208.6712,26
2021_01_GB_NO,GB,00-0036264,J.Love,8,-1.9098,108.6984,7
2021_01_GB_NO,NO,00-0031503,J.Winston,23,20.6889,201.9434,19
2021_01_GB_NO,NO,00-0033357,T.Hill,1,0.3705,32.7061,1
2021_01_JAX_HOU,HOU,00-0028118,T.Taylor,37,17.3033,54.9706,32
2021_01_JAX_HOU,JAX,00-0036971,T.Lawrence,52,-3.838,-599.6907,50
2021_01_LAC_WAS,LAC,00-0036355,J.Herbert,49,10.3843,164.5985,46
2021_01_LAC_WAS,WAS,00-0023682,R.Fitzpatrick,8,-5.4701,-107.5173,6
2021_01_LAC_WAS,WAS,00-0031800,T.Heinicke,18,4.2824,251.754,14
2021_01_MIA_NE,MIA,00-0036212,T.Tagovailoa,29,1.3421,-123.1826,27
2021_01_MIA_NE,NE,00-0036972,M.Jones,40,12.533,287.7522,38
2021_01_MIN_CIN,CIN,00-0036442,J.Burrow,31,3.9808,288.6289,26
2021_01_MIN_CIN,MIN,00-0029604,K.Cousins,51,10.4018,310.7474,46
2021_01_MIN_CIN,MIN,00-0036322,J.Jefferson,1,0.7227,55.4229,1
2021_01_NYJ_CAR,CAR,00-0034869,S.Darnold,36,2.8723,344.5732,33
2021_01_NYJ_CAR,NYJ,00-0037013,Z.Wilson,44,-7.6983,-355.7324,36
2021_01_PHI_ATL,ATL,00-0026143,M.Ryan,39,-15.6348,-307.0577,33
2021_01_PHI_ATL,PHI,00-0036389,J.Hurts,38,14.5818,371.9307,32
2021_01_PIT_BUF,BUF,00-0034857,J.Allen,55,-4.0842,-162.6995,48
2021_01_PIT_BUF,PIT,00-0022924,B.Roethlisberger,35,-0.7336,-335.813,32
2021_01_SEA_IND,IND,00-0032950,C.Wentz,44,1.5545,37.824,35
2021_01_SEA_IND,SEA,00-0029263,R.Wilson,28,13.8942,409.7157,21
2021_01_SF_DET,DET,00-0033106,J.Goff,65,-6.894,-206.6956,56
2021_01_SF_DET,SF,00-0031345,J.Garoppolo,26,19.688,137.0221,22
2021_01_SF_DET,SF,00-0037012,T.Lance,1,1.1529,35.5034,1
2021_02_ATL_TB,ATL,00-0026143,M.Ryan,48,-7.229,322.9068,45
2021_02_ATL_TB,ATL,00-0034343,J.Rosen,2,-2.8407,-124.9842,2
2021_02_ATL_TB,TB,00-0019596,T.Brady,40,3.1384,172.8503,35
2021_02_BUF_MIA,BUF,00-0034857,J.Allen,36,8.0463,-72.0513,29
2021_02_BUF_MIA,MIA,00-0033119,J.Brissett,47,-15.1379,-352.6398,39
2021_02_BUF_MIA,MIA,00-0036212,T.Tagovailoa,6,-7.6034,-114.1863,3
2021_02_CIN_CHI,CHI,00-0027973,A.Dalton,14,3.9172,147.6155,10
2021_02_CIN_CHI,CHI,00-0036945,J.Fields,19,-8.445,-107.3227,13
2021_02_CIN_CHI,CIN,00-0036442,J.Burrow,35,-8.9715,-2.6342,29
2021_02_DAL_LAC,DAL,00-0033077,D.Prescott,29,-1.6676,350.4962,27
2021_02_DAL_LAC,LAC,00-0036355,J.Herbert,45,3.641,297.7385,40
2021_02_DEN_JAX,DEN,00-0031237,T.Bridgewater,38,9.0071,498.6515,34
2021_02_DEN_JAX,JAX,00-0036971,T.Lawrence,37,-10.3437,-601.1086,33
2021_02_DET_GB,DET,00-0033106,J.Goff,39,2.6798,302.7958,35
2021_02_DET_GB,GB,00-0023459,A.Rodgers,33,18.2751,426.9766,27
2021_02_HOU_CLE,CLE,00-0034855,B.Mayfield,28,9.8861,411.226,21
2021_02_HOU_CLE,HOU,00-0028118,T.Taylor,12,12.3365,209.1424,11
2021_02_HOU_CLE,HOU,00-0036898,D.Mills,19,0.4492,-287.1154,17
2021_02_KC_BAL,BAL,00-0034796,L.Jackson,29,0.1804,112.218,25
2021_02_KC_BAL,KC,00-0033873,P.Mahomes,32,18.7054,312.4074,30
2021_02_LA_IND,IND,00-0032950,C.Wentz,40,-0.1943,4.9425,30
2021_02_LA_IND,IND,00-0036226,J.Eason,5,-3.1025,-123.2742,5
2021_02_LA_IND,LA,00-0026498,M.Stafford,32,12.1133,-124.3181,29
2021_02_LV_PIT,LV,00-0031280,D.Carr,40,22.2027,363.0391,37
2021_02_LV_PIT,PIT,00-0022924,B.Roethlisberger,42,2.707,172.0631,40
2021_02_MIN_ARI,ARI,00-0035228,K.Murray,42,8.7088,495.9371,34
2021_02_MIN_ARI,MIN,00-0029604,K.Cousins,35,9.8169,-48.7624,32
2021_02_NE_NYJ,NE,00-0036972,M.Jones,33,-4.3784,151.8363,28
2021_02_NE_NYJ,NYJ,00-0037013,Z.Wilson,39,-20.0423,-242.7788,33
2021_02_NO_CAR,CAR,00-0034869,S.Darnold,41,11.2109,99.1898,35
2021_02_NO_CAR,NO,00-0031503,J.Winston,28,-14.6059,-221.9805,21
2021_02_NO_CAR,NO,00-0033357,T.Hill,1,1.0955,0.0,0
2021_02_NYG_WAS,NYG,00-0035710,D.Jones,38,1.906,140.2919,32
2021_02_NYG_WAS,WAS,00-0031800,T.Heinicke,49,0.7531,339.1917,44
2021_02_SF_PHI,PHI,00-0033733,G.Ward,1,-2.8043,-42.8479,1
2021_02_SF_PHI,PHI,00-0036389,J.Hurts,30,6.9539,-129.4553,23
2021_02_SF_PHI,SF,00-0031345,J.Garoppolo,33,7.0234,1.9527,30
2021_02_TEN_SEA,SEA,00-0029263,R.Wilson,36,8.1157,202.0626,31
