game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2007_01_ARI_SF,ARI,00-0024225,M.Leinart,33,-4.5939,-221.8685,25
2007_01_ARI_SF,SF,00-0023436,A.Smith,36,-8.4991,-513.1268,30
2007_01_ATL_MIN,ATL,00-0021141,J.Harrington,39,-12.77,193.3047,30
2007_01_ATL_MIN,MIN,00-0024279,T.Jackson,24,0.7098,23.5344,20
2007_01_BAL_CIN,BAL,00-0011024,S.McNair,35,-17.0782,171.1382,28
2007_01_BAL_CIN,BAL,00-0022164,K.Boller,6,-3.6775,-100.9473,6
2007_01_BAL_CIN,CIN,00-0021429,C.Palmer,33,-1.8733,98.8732,31
2007_01_CAR_STL,CAR,00-0004161,J.Delhomme,29,14.0523,69.3186,27
2007_01_CAR_STL,LA,00-0019599,M.Bulger,45,-5.8158,-497.9347,42
2007_01_CHI_SD,CHI,00-0022121,R.Grossman,26,-4.3578,-230.6209,22
2007_01_CHI_SD,LAC,00-0020536,L.Tomlinson,1,2.2308,68.4129,1
2007_01_CHI_SD,LAC,00-0022942,P.Rivers,34,-1.7875,190.9163,27
2007_01_DEN_BUF,BUF,00-0022912,J.Losman,24,-6.749,77.2838,20
2007_01_DEN_BUF,DEN,00-0024226,J.Cutler,41,9.689,-18.7089,37
2007_01_DET_OAK,DET,00-0009311,J.Kitna,40,5.8898,211.1274,24
2007_01_DET_OAK,LV,00-0021206,J.McCown,44,1.1815,326.1845,38
2007_01_KC_HOU,HOU,00-0022787,M.Schaub,24,5.3969,152.0568,21
2007_01_KC_HOU,KC,00-0007835,D.Huard,36,-8.8838,-13.9928,33
2007_01_MIA_WAS,MIA,00-0006355,T.Green,40,2.4599,-13.1241,37
2007_01_MIA_WAS,WAS,00-0023460,J.Campbell,26,-2.5957,-24.799,21
2007_01_NE_NYJ,NE,00-0019596,T.Brady,29,27.9698,435.313,28
2007_01_NE_NYJ,NYJ,00-0019559,C.Pennington,26,9.2727,214.5751,21
2007_01_NE_NYJ,NYJ,00-0024264,K.Clemens,11,-5.0838,-165.0303,10
2007_01_NO_IND,IND,00-0010346,P.Manning,30,11.0259,75.5545,30
2007_01_NO_IND,NO,00-0020531,D.Brees,43,-19.6729,-108.0898,41
2007_01_NYG_DAL,DAL,00-0021678,T.Romo,26,25.3238,127.3731,23
2007_01_NYG_DAL,NYG,00-0022590,J.Lorenzen,4,-3.7065,51.6172,1
2007_01_NYG_DAL,NYG,00-0022803,E.Manning,43,14.9021,546.609,39
2007_01_PHI_GB,GB,00-0005106,B.Favre,46,-14.9222,-285.6576,40
2007_01_PHI_GB,PHI,00-0011022,D.McNabb,35,-3.096,-368.5781,31
2007_01_PIT_CLE,CLE,00-0023502,C.Frye,15,-13.6309,-312.1752,9
2007_01_PIT_CLE,CLE,00-0023645,D.Anderson,29,1.7232,-313.4751,26
2007_01_PIT_CLE,PIT,00-0022924,B.Roethlisberger,24,6.1939,-182.6868,20
2007_01_TB_SEA,SEA,00-0007091,M.Hasselbeck,28,8.6671,158.6387,24
2007_01_TB_SEA,TB,00-0005755,J.Garcia,31,2.8449,226.0073,27
2007_01_TB_SEA,TB,00-0022864,L.McCown,7,-2.0024,-155.1742,4
2007_01_TEN_JAX,JAX,00-0021231,D.Garrard,34,2.6792,8.1806,29
2007_01_TEN_JAX,TEN,00-0003292,K.Collins,1,-0.2534,0.0,0
2007_01_TEN_JAX,TEN,00-0024218,V.Young,24,-7.639,-93.765,18
2007_02_ATL_JAX,ATL,00-0021141,J.Harrington,28,2.849,-116.395,19
2007_02_ATL_JAX,JAX,00-0021231,D.Garrard,32,9.8627,153.9673,23
2007_02_BUF_PIT,BUF,00-0022912,J.Losman,32,-9.8444,32.2893,24
2007_02_BUF_PIT,PIT,00-0022924,B.Roethlisberger,34,9.1185,118.3881,32
2007_02_CIN_CLE,CIN,00-0021429,C.Palmer,51,24.6271,530.0365,49
2007_02_CIN_CLE,CLE,00-0023645,D.Anderson,33,17.3393,286.4662,33
2007_02_DAL_MIA,DAL,00-0021678,T.Romo,34,13.1621,-251.9347,25
2007_02_DAL_MIA,MIA,00-0006355,T.Green,39,-6.136,120.9429,36
2007_02_GB_NYG,GB,00-0005106,B.Favre,39,17.537,386.9604,38
2007_02_GB_NYG,NYG,00-0018272,A.Wright,6,-4.1578,-247.3735,6
2007_02_GB_NYG,NYG,00-0022590,J.Lorenzen,6,2.3483,9.3552,5
2007_02_GB_NYG,NYG,00-0022803,E.Manning,30,-3.0844,-147.7051,28
2007_02_HOU_CAR,CAR,00-0004161,J.Delhomme,44,8.0057,154.2082,39
2007_02_HOU_CAR,HOU,00-0022787,M.Schaub,29,14.0136,346.5157,27
2007_02_IND_TEN,IND,00-0010346,P.Manning,44,10.3391,385.7788,39
2007_02_IND_TEN,TEN,00-0024218,V.Young,35,5.3728,-24.001,26
2007_02_KC_CHI,CHI,00-0022121,R.Grossman,37,-14.9357,-254.1315,33
2007_02_KC_CHI,KC,00-0007835,D.Huard,33,-4.3446,71.0943,27
2007_02_KC_CHI,KC,00-0024300,B.Croyle,4,3.6124,62.8372,1
2007_02_MIN_DET,DET,00-0009311,J.Kitna,36,7.4711,131.0777,30
2007_02_MIN_DET,DET,00-0021296,J.O'Sullivan,27,-1.4998,-130.2066,22
2007_02_MIN_DET,MIN,00-0022026,B.Bollinger,5,0.7955,20.0614,4
2007_02_MIN_DET,MIN,00-0024279,T.Jackson,34,-8.8243,-82.5558,30
2007_02_NO_TB,NO,00-0020531,D.Brees,47,0.0705,-75.4701,44
2007_02_NO_TB,TB,00-0005755,J.Garcia,17,15.0181,165.367,15
2007_02_NYJ_BAL,BAL,00-0022164,K.Boller,35,6.2369,207.5361,33
2007_02_NYJ_BAL,NYJ,00-0024264,K.Clemens,41,-0.3129,-49.4228,36
2007_02_OAK_DEN,DEN,00-0024226,J.Cutler,35,-0.4407,278.6537,33
2007_02_OAK_DEN,LV,00-0021206,J.McCown,22,-5.3445,-48.6051,15
2007_02_OAK_DEN,LV,00-0021337,R.Curry,1,-0.4291,-66.6646,1
2007_02_SD_NE,LAC,00-0022942,P.Rivers,34,-9.2865,236.0407,29
2007_02_SD_NE,NE,00-0019596,T.Brady,33,13.1701,604.5384,30
2007_02_SEA_ARI,ARI,00-0024225,M.Leinart,37,4.0467,-76.9762,36
2007_02_SEA_ARI,SEA,00-0007091,M.Hasselbeck,38,11.1273,-105.9143,36
2007_02_SF_STL,LA,00-0019599,M.Bulger,46,2.5057,61.1107,40
2007_02_SF_STL,SF,00-0023436,A.Smith,21,-8.7776,81.5916,17
2007_02_WAS_PHI,PHI,00-0011022,D.McNabb,51,-5.0394,15.5739,45
