game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2013_01_ARI_STL,ARI,00-0021429,C.Palmer,44,7.2727,139.3251,40
2013_01_ARI_STL,LA,00-0027854,S.Bradford,39,8.167,147.0458,38
2013_01_ATL_NO,ATL,00-0026143,M.Ryan,42,3.6822,126.4515,36
2013_01_ATL_NO,NO,00-0020531,D.Brees,38,12.2661,373.2273,35
2013_01_BAL_DEN,BAL,00-0026158,J.Flacco,66,3.3958,-344.8123,61
2013_01_BAL_DEN,DEN,00-0010346,P.Manning,45,24.7401,193.5425,42
2013_01_CIN_CHI,CHI,00-0024226,J.Cutler,33,9.7682,141.8834,32
2013_01_CIN_CHI,CIN,00-0027973,A.Dalton,34,7.22,425.3274,33
2013_01_GB_SF,GB,00-0023459,A.Rodgers,39,12.8551,4.3414,36
2013_01_GB_SF,SF,00-0027974,C.Kaepernick,45,25.46,527.0576,39
2013_01_HOU_SD,HOU,00-0022787,M.Schaub,47,10.3471,563.8672,44
2013_01_HOU_SD,LAC,00-0022942,P.Rivers,32,3.471,-194.8592,28
2013_01_KC_JAX,JAX,00-0026197,C.Henne,6,-1.802,-37.6499,6
2013_01_KC_JAX,JAX,00-0027948,B.Gabbert,45,-28.1022,-797.5919,35
2013_01_KC_JAX,KC,00-0023436,A.Smith,37,-0.7381,-161.4752,34
2013_01_MIA_CLE,CLE,00-0029677,B.Weeden,59,-11.0277,-465.494,53
2013_01_MIA_CLE,MIA,00-0029701,R.Tannehill,43,7.6212,207.822,37
2013_01_MIN_DET,DET,00-0026498,M.Stafford,44,7.3636,-40.152,42
2013_01_MIN_DET,MIN,00-0027950,C.Ponder,33,-0.9702,74.0462,28
2013_01_NE_BUF,BUF,00-0030526,E.Manuel,30,3.5271,133.5603,27
2013_01_NE_BUF,NE,00-0019596,T.Brady,55,5.7925,-341.6209,52
2013_01_NYG_DAL,DAL,00-0021678,T.Romo,52,-7.1031,318.9779,49
2013_01_NYG_DAL,NYG,00-0022803,E.Manning,46,7.971,69.7695,41
2013_01_OAK_IND,IND,00-0029668,A.Luck,31,11.9185,386.2831,23
2013_01_OAK_IND,LV,00-0028825,T.Pryor,37,9.0727,171.6422,29
2013_01_PHI_WAS,PHI,00-0020245,M.Vick,31,7.085,41.1676,25
2013_01_PHI_WAS,WAS,00-0029665,R.Griffin III,57,3.6047,-60.2283,48
2013_01_SEA_CAR,CAR,00-0027939,C.Newton,26,4.0007,184.9968,23
2013_01_SEA_CAR,SEA,00-0029263,R.Wilson,38,10.5291,425.0143,32
2013_01_TB_NYJ,NYJ,00-0028091,J.Kerley,1,-1.8387,-58.9776,1
2013_01_TB_NYJ,NYJ,00-0030565,G.Smith,48,2.2798,22.5969,37
2013_01_TB_NYJ,TB,00-0026993,J.Freeman,34,0.4139,-432.7545,31
2013_01_TEN_PIT,PIT,00-0022924,B.Roethlisberger,38,-1.1771,75.7813,33
2013_01_TEN_PIT,TEN,00-0027946,J.Locker,22,2.1187,-24.9767,20
2013_02_CAR_BUF,BUF,00-0030526,E.Manuel,44,2.1076,224.5153,39
2013_02_CAR_BUF,CAR,00-0027939,C.Newton,46,-2.3134,-101.0123,38
2013_02_CLE_BAL,BAL,00-0026158,J.Flacco,36,5.2364,157.9653,33
2013_02_CLE_BAL,CLE,00-0023460,J.Campbell,4,-3.1494,-136.4288,4
2013_02_CLE_BAL,CLE,00-0029677,B.Weeden,40,-5.5234,132.6563,33
2013_02_DAL_KC,DAL,00-0021678,T.Romo,46,5.9966,240.4726,42
2013_02_DAL_KC,KC,00-0023436,A.Smith,42,4.9234,-195.173,34
2013_02_DEN_NYG,DEN,00-0010346,P.Manning,43,21.4334,253.2546,43
2013_02_DEN_NYG,NYG,00-0022803,E.Manning,50,-5.767,-41.0917,49
2013_02_DET_ARI,ARI,00-0021429,C.Palmer,41,-11.4456,-70.1965,38
2013_02_DET_ARI,ARI,00-0027943,P.Peterson,1,1.0978,44.8161,1
2013_02_DET_ARI,DET,00-0026498,M.Stafford,38,6.6157,-73.8892,36
2013_02_JAX_OAK,JAX,00-0026197,C.Henne,44,-0.0544,115.1805,37
2013_02_JAX_OAK,LV,00-0028825,T.Pryor,30,-2.9875,88.5474,21
2013_02_MIA_IND,IND,00-0029668,A.Luck,50,2.7409,-53.2563,43
2013_02_MIA_IND,MIA,00-0029701,R.Tannehill,38,4.7126,91.4655,32
2013_02_MIN_CHI,CHI,00-0024226,J.Cutler,40,-1.0082,510.8924,37
2013_02_MIN_CHI,MIN,00-0027950,C.Ponder,37,1.0387,-127.4133,28
2013_02_NO_TB,NO,00-0020531,D.Brees,49,-1.2115,-203.223,44
2013_02_NO_TB,TB,00-0026993,J.Freeman,24,-8.5997,-360.7878,22
