game_id,team,plays,epa,success,passPlays,passEPA,rushPlays,rushEPA,neutralPlays,neutralEPA,turnovers
2022_01_BAL_NYJ,BAL,54,2.644317337248914,21.0,35.0,7.826559364907418,19.0,-5.1822420276585035,38,-1.0213973018154765,1.0
2022_01_BAL_NYJ,NYJ,84,-13.214579327722019,33.0,66.0,-7.983361825047465,18.0,-5.2312175026745535,43,-16.458755782389485,2.0
2022_01_BUF_LA,BUF,57,9.994808049062822,30.0,38.0,20.12609783903984,19.0,-10.131289789977018,51,9.243670637142468,4.0
2022_01_BUF_LA,LA,67,-16.843344232254623,27.0,50.0,-15.416431326489855,17.0,-1.426912905764766,41,-8.91067275214098,3.0
2022_01_CLE_CAR,CAR,52,2.698399159148549,19.0,35.0,2.927500609337585,17.0,-0.22910145018903583,47,-4.595909220027524,1.0
2022_01_CLE_CAR,CLE,78,6.381976983933028,34.0,41.0,-2.037326233967698,37.0,8.419303217900726,71,9.991705283540277,0.0
2022_01_DEN_SEA,DEN,66,10.655354624321905,33.0,47.0,20.00715990288764,19.0,-9.351805278565735,66,10.655354624321905,2.0
2022_01_DEN_SEA,SEA,52,3.1859809953971254,23.0,36.0,6.767721689226613,16.0,-3.581740693829488,52,3.1859809953971254,1.0
2022_01_GB_MIN,GB,59,-11.300722266576486,27.0,42.0,-11.947978531505214,17.0,0.6472562649287283,24,-7.740835801232606,2.0
2022_01_GB_MIN,MIN,62,5.964392550532275,26.0,34.0,7.393691923770157,28.0,-1.4292993732378818,32,10.145503528998233,0.0
2022_01_IND_HOU,HOU,69,-7.704413610437439,32.0,43.0,-1.3646550616100628,26.0,-6.339758548827376,49,-0.025073428856228652,1.0
2022_01_IND_HOU,IND,92,0.20287308231633316,45.0,56.0,5.620058981535809,36.0,-5.417185899219476,73,-2.6995653146790883,2.0
2022_01_JAX_WAS,JAX,70,4.2607411942862115,33.0,50.0,2.8570180325022108,20.0,1.4037231617840007,70,4.2607411942862115,1.0
2022_01_JAX_WAS,WAS,74,6.396106890257448,32.0,52.0,12.076572117192205,22.0,-5.680465226934757,69,11.00925407445198,3.0
2022_01_KC_ARI,ARI,64,0.4511251894002779,26.0,46.0,1.1660934571120887,18.0,-0.7149682677118108,28,-4.844004724291153,0.0
2022_01_KC_ARI,KC,70,30.446551977386527,41.0,44.0,30.729777921914184,26.0,-0.2832259445276577,41,15.229711357350288,1.0
2022_01_LV_LAC,LAC,64,4.298711850070956,29.0,36.0,15.841052689178012,28.0,-11.542340839107055,49,9.682728338071502,0.0
2022_01_LV_LAC,LV,58,-7.954499304605545,24.0,45.0,-7.297522948725512,13.0,-0.6569763558800332,46,-12.275107679052795,3.0
2022_01_NE_MIA,MIA,58,2.981403800517508,28.0,36.0,5.8563312284282425,22.0,-2.874927427910734,33,8.810891257501078,0.0
2022_01_NE_MIA,NE,55,-11.082144106156193,26.0,35.0,-7.374971603392623,20.0,-3.7071725027635694,24,-10.16931567247957,3.0
2022_01_NO_ATL,ATL,74,0.19639612716549149,38.0,39.0,1.7915899507903594,35.0,-1.595193823624868,53,7.976213267370124,2.0
2022_01_NO_ATL,NO,59,7.5673242762518065,31.0,40.0,0.22850982217126958,19.0,7.338814454080537,48,4.7084109562659595,1.0
2022_01_NYG_TEN,NYG,61,0.7806846536989323,27.0,32.0,-6.842281984936446,29.0,7.622966638635378,56,-3.722757771640085,2.0
2022_01_NYG_TEN,TEN,64,3.899209005983762,29.0,38.0,12.757848649569537,26.0,-8.858639643585775,50,10.046154356256,0.0
2022_01_PHI_DET,DET,68,8.815587032353505,30.0,41.0,1.5092280393873807,27.0,7.306358992966125,44,-5.544010017998517,1.0
2022_01_PHI_DET,PHI,74,19.851073256203343,39.0,46.0,13.422305073971764,28.0,6.428768182231579,63,18.886332550294135,0.0
2022_01_PIT_CIN,CIN,100,-16.215029915798755,40.0,71.0,-9.618357190487973,29.0,-6.596672725310782,100,-16.215029915798755,5.0
2022_01_PIT_CIN,PIT,61,-7.162412610513787,21.0,42.0,-3.6276954231410525,19.0,-3.5347171873727348,55,-6.9527763451600215,0.0
2022_01_SF_CHI,CHI,55,-0.2142137944465503,18.0,24.0,2.4562142743961886,31.0,-2.670428068842739,52,2.7089286015252583,1.0
2022_01_SF_CHI,SF,69,-13.137935446420933,28.0,36.0,-10.973384910749054,33.0,-2.1645505356718786,53,-7.4742699053806865,2.0
2022_01_TB_DAL,DAL,68,-22.923801766563948,26.0,50.0,-20.31288119076732,18.0,-2.6109205757966265,34,-12.380539487320739,1.0
2022_01_TB_DAL,TB,60,0.8207166909502028,30.0,29.0,1.0508535547742515,31.0,-0.23013686382404908,46,7.814077980039283,1.0
2022_02_ARI_LV,ARI,87,6.832529774838127,44.0,59.0,3.0642651874078437,28.0,3.7682645874302834,31,-7.608055751290405,1.0
2022_02_ARI_LV,LV,67,-3.2277675962132424,30.0,44.0,0.3942370892445535,23.0,-3.622004685457796,37,0.8524792810486339,1.0
2022_02_ATL_LA,ATL,61,-5.73415927787619,27.0,35.0,5.1042808784327445,26.0,-10.838440156308934,40,-11.397375355933608,3.0
2022_02_ATL_LA,LA,63,0.7171673693579348,35.0,37.0,1.3792115290185163,26.0,-0.6620441596605815,22,5.192518396652304,3.0
2022_02_CAR_NYG,CAR,58,-3.473707162755918,26.0,40.0,-12.082098858004347,18.0,8.608391695248429,58,-3.473707162755918,1.0
2022_02_CAR_NYG,NYG,71,-9.364200568774303,23.0,46.0,-1.3490701391292343,25.0,-8.015130429645069,69,-8.269460677767691,0.0
2022_02_CHI_GB,CHI,41,-3.137890888258546,17.0,16.0,-7.541164602502249,25.0,4.403273714243703,16,-0.4247995491605252,1.0
2022_02_CHI_GB,GB,67,14.02943346954449,37.0,30.0,14.391119603847944,37.0,-0.3616861343034543,40,12.329148040979675,1.0
2022_02_CIN_DAL,CIN,68,2.2370244195644693,26.0,46.0,7.17360448386352,22.0,-4.936580064299051,65,3.355726914720188,0.0
2022_02_CIN_DAL,DAL,60,1.6356458493213442,25.0,34.0,4.0051268431237705,26.0,-2.3694809938024264,58,2.7484200840520945,1.0
2022_02_HOU_DEN,DEN,71,2.2260566180797827,28.0,41.0,4.677434811472667,30.0,-2.451378193392884,68,3.2103188690838937,1.0
2022_02_HOU_DEN,HOU,61,-10.04958887149009,23.0,43.0,-11.756811645125385,18.0,1.7072227736352943,57,-7.8260288862035345,0.0
2022_02_IND_JAX,IND,50,-20.964136952155968,14.0,36.0,-20.879952826246154,14.0,-0.08418412590981461,16,-9.2721289715264,3.0
2022_02_IND_JAX,JAX,70,7.265364848949868,31.0,32.0,17.99834043512183,38.0,-10.73297558617196,26,8.931230537593365,0.0
2022_02_LAC_KC,KC,55,5.3173843451869995,25.0,39.0,5.788074248491446,16.0,-0.4706899033044465,50,3.025690237191553,0.0
2022_02_LAC_KC,LAC,74,1.9254736104690373,37.0,51.0,0.3395989398182273,23.0,1.58587467065081,65,-4.079985648911549,1.0
2022_02_MIA_BAL,BAL,58,16.41697130386808,28.0,34.0,22.596649171751665,24.0,-6.1796778678835835,40,7.7671175141548465,0.0
2022_02_MIA_BAL,MIA,71,29.102501317160204,37.0,53.0,25.06308077313588,18.0,4.039420544024324,38,13.347900982596911,2.0
2022_02_MIN_PHI,MIN,61,-12.467470391886309,29.0,52.0,-12.500676690193359,9.0,0.03320629830705002,23,-1.1900592668680474,3.0
2022_02_MIN_PHI,PHI,73,11.944693076723171,35.0,43.0,7.317573415123308,30.0,4.627119661599863,41,14.822730646876153,1.0
2022_02_NE_PIT,NE,65,7.127653759967532,31.0,40.0,3.624177745199293,25.0,3.503476014768239,62,7.1425619649286345,1.0
2022_02_NE_PIT,PIT,59,-3.6933480209528553,26.0,38.0,-4.575801823227396,21.0,0.8824538022745401,59,-3.6933480209528553,1.0
2022_02_NYJ_CLE,CLE,66,19.26513083911422,34.0,33.0,16.267017765472787,33.0,2.9981130736414343,56,15.96444801017796,1.0
2022_02_NYJ_CLE,NYJ,70,14.5841618681907,30.0,50.0,16.20438347517031,20.0,-1.6202216069796123,66,9.496673386182943,1.0
2022_02_SEA_SF,SEA,49,-13.863306705548894,20.0,35.0,-10.068357318086782,14.0,-3.794949387462111,22,-8.115066680358723,2.0
2022_02_SEA_SF,SF,76,11.434451471140788,33.0,29.0,10.393320980906681,47.0,1.0411304902341065,26,6.435002830508127,0.0
2022_02_TB_NO,NO,68,-25.730852612639627,27.0,49.0,-20.42441520967599,19.0,-5.306437402963638,52,-29.59082741249198,5.0
2022_02_TB_NO,TB,65,-13.893085548730967,20.0,37.0,5.0834130931576444,28.0,-18.97649864188861,56,-7.5844400349082655,1.0
2022_02_TEN_BUF,BUF,66,16.988434937844772,31.0,45.0,19.044254708049607,21.0,-2.0558197702048346,42,18.307879290921846,0.0
2022_02_TEN_BUF,TEN,56,-22.206165653304197,22.0,30.0,-14.4779392023338,26.0,-7.728226450970396,30,-0.7049218801548705,3.0
2022_02_WAS_DET,DET,59,3.5053670215643287,22.0,37.0,1.220533122167696,22.0,2.2848338993966326,28,3.8823260250724196,0.0
2022_02_WAS_DET,WAS,74,3.7448467740034683,30.0,55.0,5.217997885978781,19.0,-1.4731511119753122,20,-10.592758178041317,1.0
2022_03_ATL_SEA,ATL,55,17.052362084932277,29.0,28.0,15.236804560312187,27.0,1.8155575246200897,53,17.533166490107426,2.0
2022_03_ATL_SEA,SEA,71,11.071936063879205,39.0,47.0,10.588944304621348,24.0,0.48299175925785676,71,11.071936063879205,1.0
2022_03_BAL_NE,BAL,56,12.444915047054666,28.0,34.0,3.0214788306267213,22.0,9.423436216427945,52,10.567826061823427,2.0
2022_03_BAL_NE,NE,66,-1.5907683257336593,29.0,42.0,-3.2458637807957693,24.0,1.65509545506211,62,-0.5230851055911607,4.0
2022_03_BUF_MIA,BUF,90,9.131961796212819,46.0,71.0,12.022234497604769,19.0,-2.8902727013919502,90,9.131961796212819,1.0
2022_03_BUF_MIA,MIA,43,7.255362271273043,19.0,25.0,8.833494452061132,18.0,-1.5781321807880886,43,7.255362271273043,0.0
2022_03_CIN_NYJ,CIN,66,4.668778160812346,30.0,41.0,13.040420142766763,25.0,-8.371641981954417,37,8.561857161934697,1.0
2022_03_CIN_NYJ,NYJ,78,-24.6218375533426,29.0,58.0,-23.65275940468561,20.0,-0.9690781486569904,44,-16.47235093766874,4.0
2022_03_DAL_NYG,DAL,62,9.595617537243463,30.0,31.0,3.3870945778639845,31.0,6.208522959379479,54,12.37174170585256,0.0
2022_03_DAL_NYG,NYG,72,-1.3409370064915365,33.0,54.0,-3.576206085010732,18.0,2.2352690785191953,66,-1.1861695170233233,1.0
