game_id,team,plays,epa,success,passPlays,passEPA,rushPlays,rushEPA,neutralPlays,neutralEPA,turnovers
2003_01_ARI_DET,ARI,75,1.2356664217665099,32.0,55.0,1.3973321209783904,20.0,-0.16166569921188056,59,10.76448864041653,2.0
2003_01_ARI_DET,DET,52,3.8455838492373005,20.0,30.0,9.66873979580123,22.0,-5.823155946563929,45,5.688327796175145,0.0
2003_01_ATL_DAL,ATL,62,10.122580114184926,29.0,32.0,9.088784530993472,30.0,1.0337955831914547,46,5.392617651175861,1.0
2003_01_ATL_DAL,DAL,62,-4.009408637129875,21.0,40.0,-7.592704062151663,22.0,3.583295425021788,48,-10.000523549218835,2.0
2003_01_BAL_PIT,BAL,73,-12.528318839394952,28.0,53.0,-8.712031703107524,20.0,-3.8162871362874284,29,-9.88285798666766,2.0
2003_01_BAL_PIT,PIT,67,6.139327709234159,29.0,33.0,14.16868935693342,34.0,-8.029361647699261,36,5.490503287370622,1.0
2003_01_CHI_SF,CHI,60,-33.04032949736575,17.0,42.0,-28.57389526552288,18.0,-4.466434231842868,22,-3.32337206939701,4.0
2003_01_CHI_SF,SF,79,4.333324705463042,30.0,41.0,8.616041495327977,38.0,-4.282716789864935,33,6.546504085911532,1.0
2003_01_DEN_CIN,CIN,64,-22.273778249626048,22.0,44.0,-13.777987085661152,20.0,-8.495791163964896,31,-8.286088507506065,3.0
2003_01_DEN_CIN,DEN,66,-7.579005282033391,28.0,28.0,-14.748445491200469,38.0,7.169440209167078,26,4.797685381692659,3.0
2003_01_HOU_MIA,HOU,68,3.4940408575162967,21.0,34.0,8.35949601792176,34.0,-4.865455160405464,68,3.4940408575162967,0.0
2003_01_HOU_MIA,MIA,59,-4.299963948098477,21.0,37.0,4.143823653357802,22.0,-8.443787601456279,59,-4.299963948098477,3.0
2003_01_IND_CLE,CLE,59,-4.810658176879048,26.0,32.0,-0.23322301747006113,27.0,-4.577435159408987,59,-4.810658176879048,2.0
2003_01_IND_CLE,IND,60,-3.244768948971291,24.0,45.0,-1.6721592494072364,15.0,-1.5726096995640546,60,-3.244768948971291,2.0
2003_01_JAX_CAR,CAR,67,-10.432754557000658,25.0,38.0,-7.3806179045235725,29.0,-3.0521366524770857,65,-12.123799502619727,2.0
2003_01_JAX_CAR,JAX,61,4.1552094879066725,27.0,33.0,12.852308608344632,28.0,-8.697099120437958,53,2.9331278255273276,1.0
2003_01_MIN_GB,GB,65,-1.0310983156603317,29.0,46.0,2.423839149275606,19.0,-3.454937464935938,31,-17.41634192915163,5.0
2003_01_MIN_GB,MIN,69,11.437440438378236,28.0,38.0,20.2816625986673,31.0,-8.844222160289064,40,6.8461625035671,2.0
2003_01_NE_BUF,BUF,67,2.9738123438782487,27.0,32.0,12.755273028194948,35.0,-9.781460684316698,30,9.20344627823215,2.0
2003_01_NE_BUF,NE,64,-24.151917904004222,27.0,42.0,-17.65574602741981,22.0,-6.4961718765844125,8,-12.603662258246914,4.0
2003_01_NO_SEA,NO,79,-12.517408719024388,36.0,53.0,-4.521796371467644,26.0,-7.995612347556744,33,-5.996992431813851,4.0
2003_01_NO_SEA,SEA,60,-0.5774848763219471,24.0,28.0,-0.0015921656420379016,32.0,-0.5758927106799092,24,7.305475197499618,0.0
2003_01_NYJ_WAS,NYJ,47,-3.8333679130009455,16.0,25.0,-5.188598890701503,22.0,1.3552309777005576,47,-3.8333679130009455,0.0
2003_01_NYJ_WAS,WAS,62,-6.382562727206903,26.0,29.0,-4.42103844645071,33.0,-1.9615242807561928,62,-6.382562727206903,2.0
2003_01_OAK_TEN,LV,55,0.692008648537132,21.0,45.0,5.638715756362337,10.0,-4.946707107825205,50,0.3478905248667905,0.0
2003_01_OAK_TEN,TEN,73,0.6003829023289242,29.0,44.0,10.971891027538872,29.0,-10.371508125209948,65,4.201464610128964,3.0
2003_01_SD_KC,KC,67,0.39472402831488207,30.0,39.0,2.06374555076654,28.0,-1.6690215224516578,22,11.535108014359139,2.0
