game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2025_01_ARI_NO,ARI,00-0035228,K.Murray,37,3.1013,-50.2805,29
2025_01_ARI_NO,NO,00-0039376,S.Rattler,47,-1.446,-203.2986,41
2025_01_BAL_BUF,BAL,00-0034796,L.Jackson,22,11.361,165.6971,19
2025_01_BAL_BUF,BUF,00-0034857,J.Allen,54,17.3841,386.7444,45
2025_01_CAR_JAX,CAR,00-0039150,B.Young,40,-13.5252,-420.6338,34
2025_01_CAR_JAX,JAX,00-0036971,T.Lawrence,32,3.1269,-117.5678,29
2025_01_CIN_CLE,CIN,00-0036442,J.Burrow,28,-1.9763,-44.4684,23
2025_01_CIN_CLE,CLE,00-0026158,J.Flacco,48,-2.1254,99.719,42
2025_01_DAL_PHI,DAL,00-0033077,D.Prescott,34,0.9128,5.7051,33
2025_01_DAL_PHI,PHI,00-0036389,J.Hurts,33,8.2346,436.1262,20
2025_01_DET_GB,DET,00-0033106,J.Goff,43,1.3744,430.8979,38
2025_01_DET_GB,GB,00-0036264,J.Love,23,9.923,287.6487,22
2025_01_HOU_LA,HOU,00-0039163,C.Stroud,34,-0.1389,-26.3157,27
2025_01_HOU_LA,LA,00-0026498,M.Stafford,32,6.0901,150.6825,28
2025_01_KC_LAC,KC,00-0033873,P.Mahomes,47,10.7888,-227.7255,38
2025_01_KC_LAC,LAC,00-0036355,J.Herbert,41,18.964,196.8181,34
2025_01_LV_NE,LV,00-0030565,G.Smith,38,14.3669,317.4663,33
2025_01_LV_NE,NE,00-0039851,D.Maye,53,-1.048,107.48,45
2025_01_MIA_IND,IND,00-0035710,D.Jones,33,12.9971,156.2619,29
2025_01_MIA_IND,MIA,00-0036212,T.Tagovailoa,28,-13.9363,-173.6735,23
2025_01_MIA_IND,MIA,00-0037013,Z.Wilson,9,-2.0085,-37.1127,8
2025_01_MIN_CHI,CHI,00-0039918,C.Williams,43,-0.354,-226.6741,34
2025_01_MIN_CHI,MIN,00-0039923,J.McCarthy,26,-9.1605,-65.2188,20
2025_01_NYG_WAS,NYG,00-0029263,R.Wilson,45,-11.8072,-430.6528,32
2025_01_NYG_WAS,WAS,00-0039910,J.Daniels,37,5.4064,-37.3834,29
2025_01_PIT_NYJ,NYJ,00-0036945,J.Fields,26,10.3946,218.3245,21
2025_01_PIT_NYJ,PIT,00-0023459,A.Rodgers,34,10.2048,184.161,29
2025_01_SF_SEA,SEA,00-0034869,S.Darnold,24,-6.4761,161.4723,22
2025_01_SF_SEA,SF,00-0037834,B.Purdy,39,14.3707,521.6096,34
2025_01_TB_ATL,ATL,00-0039917,M.Penix,47,16.8348,-249.4104,42
2025_01_TB_ATL,TB,00-0034855,B.Mayfield,37,10.3208,-312.0394,30
2025_01_TEN_DEN,DEN,00-0039732,B.Nix,43,-7.9896,-61.8641,37
2025_01_TEN_DEN,TEN,00-0040676,C.Ward,34,-13.3895,-314.9258,25
2025_02_ATL_MIN,ATL,00-0039917,M.Penix,24,-3.2442,-156.4534,21
2025_02_ATL_MIN,MIN,00-0039923,J.McCarthy,30,-18.1854,-233.3161,21
2025_02_BUF_NYJ,BUF,00-0033869,M.Trubisky,2,2.5197,-11.1851,2
2025_02_BUF_NYJ,BUF,00-0034857,J.Allen,29,3.6673,-215.8516,23
2025_02_BUF_NYJ,NYJ,00-0028118,T.Taylor,16,4.7826,17.1539,11
2025_02_BUF_NYJ,NYJ,00-0036945,J.Fields,15,-13.6594,-376.0964,10
2025_02_CAR_ARI,ARI,00-0035228,K.Murray,29,7.1724,19.0933,25
