game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2004_01_ARI_STL,ARI,00-0021206,J.McCown,31,-4.182,0.0,0
2004_01_ARI_STL,LA,00-0019599,M.Bulger,34,10.0945,0.0,0
2004_01_ATL_SF,ATL,00-0020245,M.Vick,26,-6.102,0.0,0
2004_01_ATL_SF,SF,00-0019623,T.Rattay,34,-3.1469,0.0,0
2004_01_ATL_SF,SF,00-0022039,K.Dorsey,16,0.8588,0.0,0
2004_01_BAL_CLE,BAL,00-0022164,K.Boller,41,-9.3441,0.0,0
2004_01_BAL_CLE,CLE,00-0005755,J.Garcia,26,0.6683,0.0,0
2004_01_CIN_NYJ,CIN,00-0021429,C.Palmer,28,14.6593,0.0,0
2004_01_CIN_NYJ,NYJ,00-0019559,C.Pennington,28,10.3358,0.0,0
2004_01_DAL_MIN,DAL,00-0016193,V.Testaverde,51,14.5922,0.0,0
2004_01_DAL_MIN,DAL,00-0021488,M.McBriar,1,-4.3359,0.0,0
2004_01_DAL_MIN,MIN,00-0003739,D.Culpepper,25,17.6088,0.0,0
2004_01_DAL_MIN,MIN,00-0011754,R.Moss,1,2.7294,0.0,0
2004_01_DET_CHI,CHI,00-0022121,R.Grossman,37,-3.162,0.0,0
2004_01_DET_CHI,DET,00-0021141,J.Harrington,27,0.8814,0.0,0
2004_01_GB_CAR,CAR,00-0004161,J.Delhomme,41,7.0116,0.0,0
2004_01_GB_CAR,CAR,00-0020337,S.Smith,1,-0.5328,0.0,0
2004_01_GB_CAR,GB,00-0005106,B.Favre,24,11.0947,0.0,0
2004_01_IND_NE,IND,00-0010346,P.Manning,30,10.2034,0.0,0
2004_01_IND_NE,NE,00-0019596,T.Brady,39,17.453,0.0,0
2004_01_JAX_BUF,BUF,00-0001361,D.Bledsoe,27,4.8321,0.0,0
2004_01_JAX_BUF,JAX,00-0022177,B.Leftwich,38,-8.3388,0.0,0
2004_01_KC_DEN,DEN,00-0013042,J.Plummer,31,1.1227,0.0,0
2004_01_KC_DEN,KC,00-0006355,T.Green,33,-7.5664,0.0,0
2004_01_NYG_PHI,NYG,00-0017200,K.Warner,32,2.1204,0.0,0
2004_01_NYG_PHI,NYG,00-0022803,E.Manning,8,0.8499,0.0,0
2004_01_NYG_PHI,PHI,00-0011022,D.McNabb,38,21.1298,0.0,0
2004_01_OAK_PIT,LV,00-0005741,R.Gannon,41,3.9151,0.0,0
2004_01_OAK_PIT,PIT,00-0010261,T.Maddox,24,-2.7102,0.0,0
2004_01_SD_HOU,HOU,00-0020608,D.Carr,27,7.0888,0.0,0
2004_01_SD_HOU,LAC,00-0020531,D.Brees,25,10.8028,0.0,0
2004_01_SEA_NO,NO,00-0001823,A.Brooks,39,-8.2333,0.0,0
2004_01_SEA_NO,SEA,00-0007091,M.Hasselbeck,29,11.3255,0.0,0
2004_01_TB_WAS,TB,00-0008442,B.Johnson,41,-13.7043,0.0,0
2004_01_TB_WAS,WAS,00-0002110,M.Brunell,24,-4.0809,0.0,0
2004_01_TEN_MIA,MIA,00-0005180,J.Fiedler,14,-7.3239,0.0,0
2004_01_TEN_MIA,MIA,00-0020305,A.Feeley,33,-3.2624,0.0,0
2004_01_TEN_MIA,TEN,00-0011024,S.McNair,16,1.8353,0.0,0
2004_02_BUF_OAK,BUF,00-0001361,D.Bledsoe,30,-2.6825,0.0,0
2004_02_BUF_OAK,BUF,00-0011626,B.Moorman,1,3.9541,0.0,0
2004_02_BUF_OAK,LV,00-0005741,R.Gannon,28,7.299,0.0,0
2004_02_CAR_KC,CAR,00-0004161,J.Delhomme,30,5.2401,0.0,0
2004_02_CAR_KC,KC,00-0006355,T.Green,37,-10.3442,0.0,0
2004_02_CHI_GB,CHI,00-0022121,R.Grossman,19,1.7501,0.0,0
2004_02_CHI_GB,GB,00-0005106,B.Favre,42,-6.045,0.0,0
2004_02_CLE_DAL,CLE,00-0005755,J.Garcia,28,-19.0484,0.0,0
2004_02_CLE_DAL,CLE,00-0022864,L.McCown,1,-0.1175,0.0,0
2004_02_CLE_DAL,DAL,00-0016193,V.Testaverde,36,-0.2965,0.0,0
2004_02_DEN_JAX,DEN,00-0013042,J.Plummer,38,6.043,0.0,0
2004_02_DEN_JAX,JAX,00-0022057,L.Toefield,1,-1.4891,0.0,0
2004_02_DEN_JAX,JAX,00-0022177,B.Leftwich,17,-0.2776,0.0,0
2004_02_HOU_DET,DET,00-0021141,J.Harrington,27,5.6995,0.0,0
2004_02_HOU_DET,HOU,00-0020608,D.Carr,40,10.2326,0.0,0
2004_02_IND_TEN,IND,00-0010346,P.Manning,34,11.0196,0.0,0
2004_02_IND_TEN,TEN,00-0007308,C.Hentrich,1,-1.8602,0.0,0
2004_02_IND_TEN,TEN,00-0011024,S.McNair,42,2.0953,0.0,0
2004_02_MIA_CIN,CIN,00-0021429,C.Palmer,43,-17.2667,0.0,0
2004_02_MIA_CIN,MIA,00-0020305,A.Feeley,41,-10.0139,0.0,0
2004_02_MIN_PHI,MIN,00-0003739,D.Culpepper,51,20.1187,0.0,0
2004_02_MIN_PHI,PHI,00-0011022,D.McNabb,30,12.1544,0.0,0
2004_02_NE_ARI,ARI,00-0021206,J.McCown,35,-14.588,0.0,0
2004_02_NE_ARI,NE,00-0019596,T.Brady,28,10.863,0.0,0
2004_02_NYJ_SD,LAC,00-0005363,D.Flutie,15,5.0521,0.0,0
2004_02_NYJ_SD,LAC,00-0020531,D.Brees,20,-3.3043,0.0,0
2004_02_NYJ_SD,NYJ,00-0019559,C.Pennington,29,11.7904,0.0,0
2004_02_PIT_BAL,BAL,00-0022164,K.Boller,19,-3.0434,0.0,0
2004_02_PIT_BAL,PIT,00-0010261,T.Maddox,15,-9.5459,0.0,0
2004_02_PIT_BAL,PIT,00-0022924,B.Roethlisberger,23,-1.2103,0.0,0
2004_02_SEA_TB,SEA,00-0007091,M.Hasselbeck,30,-5.692,0.0,0
2004_02_SEA_TB,TB,00-0008442,B.Johnson,8,-8.8559,0.0,0
2004_02_SEA_TB,TB,00-0022005,C.Simms,36,-9.1843,0.0,0
2004_02_SF_NO,NO,00-0001823,A.Brooks,37,13.3247,0.0,0
2004_02_SF_NO,SF,00-0022039,K.Dorsey,34,3.7654,0.0,0
2004_02_STL_ATL,ATL,00-0020245,M.Vick,20,1.9932,0.0,0
2004_02_STL_ATL,LA,00-0019599,M.Bulger,36,3.9811,0.0,0
2004_02_WAS_NYG,NYG,00-0017200,K.Warner,35,-0.8183,0.0,0
2004_02_WAS_NYG,WAS,00-0002110,M.Brunell,19,-4.1003,0.0,0
2004_02_WAS_NYG,WAS,00-0021379,P.Ramsey,21,-6.3738,0.0,0
2004_03_ARI_ATL,ARI,00-0009266,S.King,7,-0.9634,0.0,0
2004_03_ARI_ATL,ARI,00-0021206,J.McCown,31,-4.7851,0.0,0
