game_id,team,plays,epa,success,passPlays,passEPA,rushPlays,rushEPA,neutralPlays,neutralEPA,turnovers
2026_01_ARI_LAC,ARI,72,10.018772343846205,35.0,42.0,11.347910712778441,30.0,-1.3291383689322356,63,11.303179063441105,0.0
2026_01_ARI_LAC,LAC,55,-9.172669976891484,22.0,39.0,-3.405569054011721,16.0,-5.767100922879763,45,-2.5292554394109175,2.0
2026_01_ATL_PIT,ATL,60,-21.46208130760414,22.0,28.0,-17.859113793806948,32.0,-3.60296751379719,60,-21.46208130760414,2.0
2026_01_ATL_PIT,PIT,65,-16.345097962901985,22.0,47.0,-11.805396930216869,18.0,-4.539701032685116,55,-14.426174817865878,1.0
2026_01_BAL_IND,BAL,64,13.357284339732422,30.0,32.0,10.109317885828204,32.0,3.2479664539042177,27,11.524207886133809,1.0
2026_01_BAL_IND,IND,54,-12.128600607377564,23.0,35.0,-14.33168527796687,19.0,2.2030846705893055,24,-12.063050823053345,2.0
2026_01_BUF_HOU,BUF,56,15.566254045564275,23.0,37.0,20.560345692222764,19.0,-4.9940916466584895,56,15.566254045564275,0.0
2026_01_BUF_HOU,HOU,79,5.628911558799865,38.0,48.0,4.689604255108116,31.0,0.9393073036917485,79,5.628911558799865,2.0
2026_01_CHI_CAR,CAR,68,8.813799052923637,32.0,46.0,11.150876910675501,22.0,-2.337077857751865,47,6.46314292955743,2.0
2026_01_CHI_CAR,CHI,75,27.038346797115175,40.0,40.0,22.038609712970445,35.0,4.999737084144726,57,18.27463823807566,1.0
2026_01_CLE_JAX,CLE,51,-10.489239150477044,22.0,32.0,-8.221107378362614,19.0,-2.2681317721144296,11,-9.59792938712053,2.0
2026_01_CLE_JAX,JAX,54,16.729605309298048,32.0,25.0,18.267180499853566,29.0,-1.5375751905555175,17,10.31813607015647,0.0
2026_01_DAL_NYG,DAL,58,15.710281403094996,28.0,41.0,17.40774060471449,17.0,-1.6974592016194947,43,6.337548806157429,1.0
2026_01_DAL_NYG,NYG,66,23.94952877634205,39.0,33.0,22.01252119606943,33.0,1.9370075802726205,50,18.307220693095587,1.0
2026_01_DEN_KC,DEN,50,-18.88435819297347,18.0,35.0,-15.45941364177752,15.0,-3.4249445511959493,35,-7.8355544480776205,2.0
2026_01_DEN_KC,KC,66,7.804838924211797,27.0,34.0,-0.46845909026742705,32.0,8.273298014479224,45,14.056599357048981,1.0
2026_01_GB_MIN,GB,68,-12.330353974576886,26.0,46.0,-2.7036460936736173,22.0,-9.626707880903268,54,-2.8674771938033725,2.0
2026_01_GB_MIN,MIN,62,4.427777230211822,24.0,34.0,7.914776834509857,28.0,-3.4869996042980347,57,2.4517811829825487,1.0
2026_01_MIA_LV,LV,65,-1.8698029671691039,28.0,32.0,0.8624369039421289,33.0,-2.732239871111233,41,11.992106555796912,2.0
2026_01_MIA_LV,MIA,55,-13.31472490715823,19.0,40.0,-7.333496432862054,15.0,-5.981228474296175,32,-3.110017030222357,2.0
2026_01_NE_SEA,NE,71,-6.558486723230105,29.0,44.0,5.605358748749479,27.0,-12.163845471979585,71,-6.558486723230105,3.0
2026_01_NE_SEA,SEA,49,1.4024340423470227,19.0,28.0,5.489187056880338,21.0,-4.086753014533315,49,1.4024340423470227,0.0
2026_01_NO_DET,DET,77,-2.09402101382083,35.0,41.0,0.49954563437559907,36.0,-2.593566648196429,67,-1.638266038847442,1.0
2026_01_NO_DET,NO,89,1.6821083305936586,39.0,66.0,3.4085823185110744,23.0,-1.7264739879174158,71,-5.608075800589537,3.0
2026_01_NYJ_TEN,NYJ,64,8.09350248302538,31.0,28.0,9.452823350314787,36.0,-1.3593208672894066,44,11.126464720865982,0.0
2026_01_NYJ_TEN,TEN,50,-7.053053558229616,22.0,40.0,-6.092768857292279,10.0,-0.9602847009373363,26,-8.152519354720747,0.0
2026_01_SF_LA,LA,60,-13.530783784925006,26.0,33.0,-8.906958484556526,27.0,-4.62382530036848,38,-2.9829218954546377,2.0
2026_01_SF_LA,SF,65,12.361808198104995,37.0,37.0,8.397850532267626,28.0,3.96395766583737,52,12.238099349537425,1.0
2026_01_TB_CIN,CIN,63,0.08407268996732986,30.0,38.0,-1.1536468426297817,25.0,1.2377195325971115,27,4.848659206679139,1.0
2026_01_TB_CIN,TB,56,-4.555934735330254,29.0,39.0,-6.567271418393091,17.0,2.0113366830628365,33,-13.248304840835859,4.0
2026_01_WAS_PHI,PHI,53,1.4431364833579674,18.0,34.0,4.607971143894112,19.0,-3.164834660536144,53,1.4431364833579674,0.0
2026_01_WAS_PHI,WAS,70,4.1122560542968465,30.0,41.0,5.459751253080353,29.0,-1.3474951987835064,69,1.152176075494605,0.0
2026_02_CAR_ATL,ATL,69,-33.47328783255948,24.0,41.0,-28.314864758096558,28.0,-5.158423074462917,33,-13.889370158150864,5.0
2026_02_CAR_ATL,CAR,65,2.305401578926512,26.0,40.0,10.895132269276337,25.0,-8.589730690349825,37,8.252849279818156,0.0
2026_02_CIN_HOU,CIN,59,-6.287366726212131,18.0,36.0,-0.5477255916431754,23.0,-5.739641134568956,42,1.6759534278514403,0.0
2026_02_CIN_HOU,HOU,79,-18.86208409073272,27.0,64.0,-6.935452484258695,15.0,-11.926631606474023,55,-9.86015945104857,0.0
2026_02_CLE_TB,CLE,56,0.9653423307695377,25.0,36.0,12.295752046536556,20.0,-11.330409715767018,56,0.9653423307695377,0.0
2026_02_CLE_TB,TB,65,-12.960556911233652,24.0,43.0,-13.290704290224312,22.0,0.3301473789906595,65,-12.960556911233652,1.0
2026_02_DET_BUF,BUF,71,31.160829393949825,42.0,42.0,21.59735732138506,29.0,9.563472072564764,32,17.067793444206472,0.0
2026_02_DET_BUF,DET,65,18.293231299402738,32.0,46.0,23.026259092148393,19.0,-4.733027792745656,16,-2.469688854936976,0.0
2026_02_GB_NYJ,GB,59,-8.649986207167325,19.0,38.0,2.1037156926154292,21.0,-10.753701899782754,58,-11.372955848610667,1.0
2026_02_GB_NYJ,NYJ,73,-6.541859397519147,28.0,49.0,6.35057041226537,24.0,-12.892429809784517,70,-5.472346734633902,0.0
2026_02_IND_KC,IND,65,13.445068914705189,32.0,35.0,7.833885938016465,30.0,5.611182976688724,65,13.445068914705189,1.0
2026_02_IND_KC,KC,80,15.71100414106711,43.0,52.0,13.070672206746341,28.0,2.6403319343207707,80,15.71100414106711,0.0
2026_02_JAX_DEN,DEN,59,7.613765111600404,28.0,33.0,10.262704418161704,26.0,-2.648939306561299,52,4.971157216641476,1.0
2026_02_JAX_DEN,JAX,60,-2.9329179413891557,27.0,36.0,-4.431862151539668,24.0,1.498944210150512,60,-2.9329179413891557,1.0
2026_02_LV_LAC,LAC,67,-20.186833115634524,23.0,34.0,-2.3536684089247295,33.0,-17.833164706709795,61,-13.15395626832267,3.0
2026_02_LV_LAC,LV,60,-5.877446722170676,21.0,33.0,7.589581510401331,27.0,-13.467028232572007,57,-3.573894242221828,1.0
2026_02_MIA_SF,MIA,60,-0.9218257881915033,24.0,31.0,4.382999204591512,29.0,-5.304824992783015,38,4.7338484508469865,0.0
2026_02_MIA_SF,SF,50,19.009368421742693,27.0,27.0,24.653891859576106,23.0,-5.6445234378334135,23,13.182858304702677,0.0
2026_02_MIN_CHI,CHI,73,-10.05601687769306,23.0,44.0,-1.0833152182378623,29.0,-8.972701659455197,73,-10.05601687769306,2.0
