game_id,team,plays,epa,success,passPlays,passEPA,rushPlays,rushEPA,neutralPlays,neutralEPA,turnovers
2025_01_ARI_NO,ARI,66,4.077001769189082,28.0,41.0,5.392743648386594,25.0,-1.3157418791975106,52,10.417382850493803,0.0
2025_01_ARI_NO,NO,73,-4.1712006737005405,31.0,51.0,-0.7157295807199526,22.0,-3.455471092980588,63,-0.7537339132912431,0.0
2025_01_BAL_BUF,BAL,51,20.116198004153528,26.0,23.0,12.192281024308716,28.0,7.923916979844811,44,22.16087468013863,1.0
2025_01_BAL_BUF,BUF,81,20.76273145601735,40.0,57.0,21.867236240470078,24.0,-1.104504784452729,58,11.041168226214353,0.0
2025_01_CAR_JAX,CAR,63,-11.10048355304241,23.0,43.0,-9.242930139962825,20.0,-1.8575534130795859,33,-8.164080408483985,3.0
2025_01_CAR_JAX,JAX,63,6.492363059276784,29.0,33.0,2.257683486612435,30.0,4.23467957266435,29,9.144059631431201,1.0
2025_01_CIN_CLE,CIN,52,-3.80780651163958,22.0,29.0,-0.5406730377552655,23.0,-3.2671334738843143,52,-3.80780651163958,0.0
2025_01_CIN_CLE,CLE,76,-2.4349428244214173,31.0,53.0,-0.9249828287330124,23.0,-1.5099599956884049,76,-2.4349428244214173,2.0
2025_01_DAL_PHI,DAL,60,6.247929561407029,28.0,39.0,5.2204440102690866,21.0,1.0274855511379428,60,6.247929561407029,1.0
2025_01_DAL_PHI,PHI,59,9.466558611658243,30.0,33.0,8.23464569129034,26.0,1.231912920367904,56,10.079231870125355,0.0
2025_01_DET_GB,DET,66,-4.144678065203038,28.0,44.0,1.9949990329342882,22.0,-6.1396770981373265,44,-3.8137256873295655,1.0
2025_01_DET_GB,GB,47,10.647695613179579,21.0,24.0,11.387845537936899,23.0,-0.7401499247573193,26,12.616444747624572,0.0
2025_01_HOU_LA,HOU,63,-9.116530763934007,23.0,38.0,-5.02745126236101,25.0,-4.089079501572996,63,-9.116530763934007,2.0
2025_01_HOU_LA,LA,58,-4.158295443106908,24.0,34.0,0.5667709495755844,24.0,-4.725066392682493,51,-0.033808680600486696,1.0
2025_01_KC_LAC,KC,60,10.365295421571775,27.0,48.0,9.712640874502087,12.0,0.6526545470696874,54,6.506275143830409,0.0
2025_01_KC_LAC,LAC,62,17.505141597275177,35.0,43.0,18.836633132226048,19.0,-1.3314915349508714,58,16.775032183596885,0.0
2025_01_LV_NE,LV,61,6.144413543412562,26.0,38.0,14.366887216966735,23.0,-8.222473673554171,52,8.167370871627373,1.0
