game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2011_01_ATL_CHI,ATL,00-0026143,M.Ryan,51,-14.8346,344.6315,46
2011_01_ATL_CHI,CHI,00-0024226,J.Cutler,37,0.5382,261.4958,32
2011_01_BUF_KC,BUF,00-0023682,R.Fitzpatrick,27,12.7653,369.8276,25
2011_01_BUF_KC,BUF,00-0024318,B.Smith,1,-1.168,-26.9227,1
2011_01_BUF_KC,KC,00-0023662,M.Cassel,38,-16.8993,-101.53,36
2011_01_CAR_ARI,ARI,00-0025423,K.Kolb,29,11.4675,42.9643,27
2011_01_CAR_ARI,CAR,00-0027939,C.Newton,46,12.425,240.5362,37
2011_01_CIN_CLE,CIN,00-0024408,B.Gradkowski,13,0.1824,-174.3749,12
2011_01_CIN_CLE,CIN,00-0027973,A.Dalton,18,-0.7501,113.6727,15
2011_01_CIN_CLE,CLE,00-0027688,C.McCoy,43,-7.5795,-307.3669,39
2011_01_DAL_NYJ,DAL,00-0021678,T.Romo,41,8.3384,142.1853,36
2011_01_DAL_NYJ,NYJ,00-0026898,M.Sanchez,49,-0.1597,-119.0767,44
2011_01_DET_TB,DET,00-0026498,M.Stafford,33,13.719,373.4552,33
2011_01_DET_TB,TB,00-0026300,J.Johnson,4,-2.8052,-28.7157,3
2011_01_DET_TB,TB,00-0026993,J.Freeman,47,5.2204,262.2632,41
2011_01_IND_HOU,HOU,00-0022787,M.Schaub,26,3.4368,146.1535,24
2011_01_IND_HOU,IND,00-0003292,K.Collins,34,-11.0879,-183.4111,30
2011_01_MIN_SD,LAC,00-0022942,P.Rivers,50,6.3533,302.6506,47
2011_01_MIN_SD,MIN,00-0011022,D.McNabb,19,-8.2609,-249.3271,15
2011_01_NE_MIA,MIA,00-0026197,C.Henne,57,11.0385,358.4668,48
2011_01_NE_MIA,NE,00-0019596,T.Brady,49,24.3107,468.0476,48
2011_01_NO_GB,GB,00-0023459,A.Rodgers,39,19.5626,614.932,35
2011_01_NO_GB,NO,00-0020531,D.Brees,52,18.5857,179.5054,48
2011_01_NYG_WAS,NYG,00-0022803,E.Manning,37,-2.1548,-58.7503,32
2011_01_NYG_WAS,WAS,00-0022121,R.Grossman,38,11.0063,238.4684,34
2011_01_OAK_DEN,DEN,00-0023541,K.Orton,51,-0.1058,-339.4129,45
2011_01_OAK_DEN,LV,00-0023460,J.Campbell,24,-0.674,-6.6117,22
2011_01_PHI_STL,LA,00-0020305,A.Feeley,6,-5.4322,-244.1471,5
2011_01_PHI_STL,LA,00-0027854,S.Bradford,34,-4.3266,-215.6812,30
2011_01_PHI_STL,PHI,00-0020245,M.Vick,42,7.5171,-219.923,31
2011_01_PIT_BAL,BAL,00-0026158,J.Flacco,30,10.3758,-66.9037,29
2011_01_PIT_BAL,PIT,00-0022924,B.Roethlisberger,46,-12.0346,-272.0661,41
2011_01_SEA_SF,SEA,00-0024279,T.Jackson,44,-4.374,-83.0218,37
2011_01_SEA_SF,SF,00-0023436,A.Smith,23,0.0855,241.7724,20
2011_01_TEN_JAX,JAX,00-0022864,L.McCown,27,4.2394,74.454,24
2011_01_TEN_JAX,TEN,00-0007091,M.Hasselbeck,36,4.7842,103.6368,33
2011_02_ARI_WAS,ARI,00-0025423,K.Kolb,33,3.2753,-226.8775,30
2011_02_ARI_WAS,WAS,00-0022121,R.Grossman,45,0.3029,-220.5206,43
2011_02_BAL_TEN,BAL,00-0026158,J.Flacco,35,-4.0913,-309.5149,30
2011_02_BAL_TEN,TEN,00-0007091,M.Hasselbeck,42,13.6189,400.5995,42
2011_02_CHI_NO,CHI,00-0024226,J.Cutler,52,-13.8573,-797.4099,44
2011_02_CHI_NO,NO,00-0020531,D.Brees,39,8.8063,68.9532,37
2011_02_CIN_DEN,CIN,00-0027973,A.Dalton,45,4.514,211.1566,41
2011_02_CIN_DEN,DEN,00-0023541,K.Orton,27,5.1654,-24.2412,25
2011_02_CLE_IND,CLE,00-0027688,C.McCoy,34,7.6214,73.7662,31
2011_02_CLE_IND,IND,00-0003292,K.Collins,38,-7.3487,-418.659,36
2011_02_DAL_SF,DAL,00-0009311,J.Kitna,10,-0.0806,45.234,10
2011_02_DAL_SF,DAL,00-0021678,T.Romo,34,16.8486,81.3168,33
2011_02_DAL_SF,SF,00-0023436,A.Smith,32,-3.5567,105.746,24
