game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2003_01_ARI_DET,ARI,00-0001335,J.Blake,47,-1.177,0.0,0
2003_01_ARI_DET,DET,00-0021141,J.Harrington,30,9.6687,0.0,0
2003_01_ATL_DAL,ATL,00-0019087,D.Johnson,29,10.0189,0.0,0
2003_01_ATL_DAL,DAL,00-0020404,Q.Carter,35,0.4715,0.0,0
2003_01_BAL_PIT,BAL,00-0022164,K.Boller,42,-13.569,0.0,0
2003_01_BAL_PIT,PIT,00-0010261,T.Maddox,31,15.3099,0.0,0
2003_01_BAL_PIT,PIT,00-0021190,A.Randle El,1,-1.9127,0.0,0
2003_01_CHI_SF,CHI,00-0015700,K.Stewart,39,-30.9657,0.0,0
2003_01_CHI_SF,SF,00-0005755,J.Garcia,35,4.965,0.0,0
2003_01_DEN_CIN,CIN,00-0009311,J.Kitna,41,-15.3191,0.0,0
2003_01_DEN_CIN,DEN,00-0001218,S.Beuerlein,1,-0.3372,0.0,0
2003_01_DEN_CIN,DEN,00-0013042,J.Plummer,24,-13.3843,0.0,0
2003_01_HOU_MIA,HOU,00-0020608,D.Carr,31,10.5649,0.0,0
2003_01_HOU_MIA,HOU,00-0021163,J.Gaffney,1,-0.4277,0.0,0
2003_01_HOU_MIA,MIA,00-0005180,J.Fiedler,35,3.5828,0.0,0
2003_01_IND_CLE,CLE,00-0007576,K.Holcomb,29,-0.07,0.0,0
2003_01_IND_CLE,IND,00-0010346,P.Manning,44,-2.4804,0.0,0
2003_01_JAX_CAR,CAR,00-0004161,J.Delhomme,22,4.62,0.0,0
2003_01_JAX_CAR,CAR,00-0012732,R.Peete,13,-11.9382,0.0,0
2003_01_JAX_CAR,JAX,00-0002110,M.Brunell,31,12.4771,0.0,0
2003_01_MIN_GB,GB,00-0005106,B.Favre,43,1.3448,0.0,0
2003_01_MIN_GB,MIN,00-0003739,D.Culpepper,32,14.5863,0.0,0
2003_01_NE_BUF,BUF,00-0001361,D.Bledsoe,30,9.4601,0.0,0
2003_01_NE_BUF,NE,00-0019596,T.Brady,31,-23.6522,0.0,0
2003_01_NE_BUF,NE,00-0021238,R.Davey,6,-0.5459,0.0,0
2003_01_NO_SEA,NO,00-0001823,A.Brooks,50,-3.5117,0.0,0
2003_01_NO_SEA,SEA,00-0007091,M.Hasselbeck,26,-2.4372,0.0,0
2003_01_NYJ_WAS,NYJ,00-0016193,V.Testaverde,25,-5.1886,0.0,0
2003_01_NYJ_WAS,WAS,00-0021379,P.Ramsey,27,-4.6061,0.0,0
2003_01_OAK_TEN,LV,00-0005741,R.Gannon,41,7.9228,0.0,0
2003_01_OAK_TEN,LV,00-0020405,M.Tuiasosopo,1,-0.9049,0.0,0
2003_01_OAK_TEN,TEN,00-0011024,S.McNair,38,7.8728,0.0,0
2003_01_SD_KC,KC,00-0006355,T.Green,35,4.6187,0.0,0
2003_01_SD_KC,LAC,00-0020531,D.Brees,36,-4.3198,0.0,0
2003_01_STL_NYG,LA,00-0017200,K.Warner,60,-19.3709,0.0,0
2003_01_STL_NYG,LA,00-0019242,D.Looker,1,3.0524,0.0,0
2003_01_STL_NYG,NYG,00-0003292,K.Collins,28,-2.8495,0.0,0
2003_01_TB_PHI,PHI,00-0004229,K.Detmer,1,-3.0056,0.0,0
2003_01_TB_PHI,PHI,00-0011022,D.McNabb,38,-16.0798,0.0,0
2003_01_TB_PHI,TB,00-0008442,B.Johnson,36,11.4261,0.0,0
2003_02_BUF_JAX,BUF,00-0001361,D.Bledsoe,25,29.3801,0.0,0
2003_02_BUF_JAX,BUF,00-0016838,A.Van Pelt,2,0.6095,0.0,0
2003_02_BUF_JAX,JAX,00-0002110,M.Brunell,35,-15.1343,0.0,0
2003_02_BUF_JAX,JAX,00-0022177,B.Leftwich,8,8.22,0.0,0
2003_02_CAR_TB,CAR,00-0004161,J.Delhomme,24,-10.6922,0.0,0
2003_02_CAR_TB,TB,00-0008442,B.Johnson,61,-1.2707,0.0,0
2003_02_CHI_MIN,CHI,00-0002876,C.Chandler,2,-3.1084,0.0,0
2003_02_CHI_MIN,CHI,00-0015700,K.Stewart,22,0.2819,0.0,0
