game_id,team,plays,epa,success,passPlays,passEPA,rushPlays,rushEPA,neutralPlays,neutralEPA,turnovers
2024_01_ARI_BUF,ARI,60,3.8000999668915876,23.0,38.0,6.041290239568265,22.0,-2.2411902726766773,60,3.8000999668915876,1.0
2024_01_ARI_BUF,BUF,60,12.689316134210568,35.0,32.0,16.962356876372777,28.0,-4.27304074216221,60,12.689316134210568,1.0
2024_01_BAL_KC,BAL,80,3.135927420918348,42.0,58.0,-2.5732192635829723,22.0,5.70914668450132,70,-2.5094574453602707,1.0
2024_01_BAL_KC,KC,53,9.656116171192814,23.0,33.0,13.794017664861137,20.0,-4.137901493668323,46,11.676533591386367,1.0
2024_01_CAR_NO,CAR,59,-27.16436945320302,18.0,42.0,-14.100188667587556,17.0,-13.064180785615463,12,-7.4036403929349035,3.0
2024_01_CAR_NO,NO,66,13.6939730802017,30.0,28.0,9.554532980420177,38.0,4.139440099781522,20,7.908517855070458,0.0
2024_01_DAL_CLE,CLE,76,-22.94560490793083,19.0,60.0,-21.87454888233333,16.0,-1.0710560255974997,26,-15.395074662868865,2.0
2024_01_DAL_CLE,DAL,62,-6.2436760261944375,23.0,36.0,-5.992042259010335,26.0,-0.2516337671841029,38,4.677865114424778,0.0
2024_01_DEN_SEA,DEN,69,-21.464335067130634,19.0,49.0,-17.568547627588742,20.0,-3.895787439541891,51,-22.350302959026777,3.0
2024_01_DEN_SEA,SEA,64,-4.2497386901942225,29.0,35.0,-1.9355380386533358,29.0,-2.3142006515408866,50,0.9384685219428359,1.0
2024_01_GB_PHI,GB,67,8.779012249935708,27.0,42.0,3.7960665841748122,25.0,4.982945665760897,66,8.274355020730813,1.0
2024_01_GB_PHI,PHI,75,4.455470357964394,35.0,40.0,14.489310386124998,35.0,-10.033840028160604,70,5.779901781817898,3.0
2024_01_HOU_IND,HOU,77,13.502208916209476,38.0,40.0,9.828141291553923,37.0,3.674067624655552,77,13.502208916209476,0.0
2024_01_HOU_IND,IND,45,2.5145598563686944,20.0,25.0,3.921597452252172,20.0,-1.4070375958834775,41,-5.5137574490071275,1.0
2024_01_JAX_MIA,JAX,53,-4.86461200206197,22.0,27.0,6.256646503907338,26.0,-11.121258505969308,52,1.0491416190436,1.0
2024_01_JAX_MIA,MIA,71,1.4125927402940273,29.0,45.0,7.428250120641859,26.0,-6.015657380347832,71,1.4125927402940273,0.0
2024_01_LA_DET,DET,61,6.452360015730485,31.0,31.0,-3.1989448625057753,30.0,9.65130487823626,57,4.186436075503118,1.0
2024_01_LA_DET,LA,78,5.895424936124817,38.0,53.0,8.499867837923901,25.0,-2.604442901799085,75,0.6968348725184281,1.0
2024_01_LV_LAC,LAC,54,-4.970948235917018,20.0,29.0,-4.708262696643473,25.0,-0.2626855392735451,50,-6.099273418439665,0.0
2024_01_LV_LAC,LV,60,-19.118074125531816,20.0,41.0,-3.8846467410127983,19.0,-15.233427384519018,53,-17.272401905772963,3.0
2024_01_MIN_NYG,MIN,54,8.835625310312025,25.0,28.0,8.942661782493815,26.0,-0.10703647218178958,34,12.431359199108556,2.0
2024_01_MIN_NYG,NYG,70,-24.755659405198063,22.0,51.0,-21.713224410833906,19.0,-3.0424349943641573,31,-7.321570168298205,2.0
2024_01_NE_CIN,CIN,51,-6.145624811979829,22.0,38.0,-8.683332394561617,13.0,2.5377075825817883,50,-7.547683847588374,1.0
2024_01_NE_CIN,NE,61,-0.4208560782647619,27.0,29.0,1.343744268473245,32.0,-1.764600346738007,54,1.7911502463463767,0.0
2024_01_NYJ_SF,NYJ,50,-2.468170907959342,22.0,32.0,1.3415308683034963,18.0,-3.8097017762628385,22,-6.093643967877142,2.0
2024_01_NYJ_SF,SF,71,8.794106133085648,33.0,35.0,6.925955047692611,36.0,1.8681510853930376,46,8.085455754461389,0.0
2024_01_PIT_ATL,ATL,55,-17.58527908824467,24.0,32.0,-10.149809943813258,23.0,-7.4354691444314085,53,-17.381177431564673,3.0
2024_01_PIT_ATL,PIT,68,-8.207052315782065,26.0,32.0,-1.1008705690137446,36.0,-7.1061817467683195,62,-6.496158765253866,0.0
2024_01_TEN_CHI,CHI,54,-13.716487482134994,21.0,35.0,-9.865322379864097,19.0,-3.8511651022708975,50,-12.493477628627602,0.0
2024_01_TEN_CHI,TEN,64,-16.690584761004878,24.0,39.0,-15.179806496542161,25.0,-1.510778264462715,56,-13.690671866790373,3.0
2024_01_WAS_TB,TB,61,19.413586879947868,33.0,36.0,24.80679268833617,25.0,-5.393205808388302,44,15.046917528712836,0.0
2024_01_WAS_TB,WAS,58,9.183918695236482,29.0,36.0,8.373165296719801,22.0,0.810753398516681,32,2.4576452060080327,0.0
2024_02_ATL_PHI,ATL,59,9.393920041237397,29.0,34.0,8.9363542016895,25.0,0.45756583954789676,59,9.393920041237397,0.0
2024_02_ATL_PHI,PHI,71,6.0189327279983775,32.0,38.0,5.359186126708307,33.0,0.6597466012900695,67,7.403807914219331,1.0
2024_02_BUF_MIA,BUF,42,9.690081024859483,18.0,20.0,10.823677038537953,22.0,-1.1335960136784706,25,14.918641729475468,0.0
2024_02_BUF_MIA,MIA,76,-21.16060871409916,33.0,44.0,-15.14840818447026,32.0,-6.012200529628899,44,-14.72642533853848,3.0
2024_02_CHI_HOU,CHI,70,-14.025609853787508,25.0,52.0,-11.556915940564984,18.0,-2.4686939132225234,55,-11.556823904544025,2.0
