game_id,team,plays,epa,success,passPlays,passEPA,rushPlays,rushEPA,neutralPlays,neutralEPA,turnovers
2011_01_ATL_CHI,ATL,69,-17.079608024633117,26.0,54.0,-14.585575281988456,15.0,-2.4940327426446602,34,-7.624858586871158,3.0
2011_01_ATL_CHI,CHI,66,-4.5437144777607905,28.0,39.0,-0.46833159247048073,27.0,-4.07538288529031,42,10.830232035374575,1.0
2011_01_BUF_KC,BUF,67,13.995426406955225,33.0,29.0,11.866405600029388,38.0,2.129020806925837,28,9.87304812145885,1.0
2011_01_BUF_KC,KC,56,-20.869132562839795,15.0,38.0,-16.899262910367824,18.0,-3.9698696524719708,24,-12.373037655787911,2.0
2011_01_CAR_ARI,ARI,55,5.78768535016988,22.0,30.0,13.390120411499623,25.0,-7.602435061329743,50,5.041413008938065,1.0
2011_01_CAR_ARI,CAR,72,7.594998865853995,31.0,48.0,13.387290745740756,24.0,-5.792291879886761,70,5.867477516294457,1.0
2011_01_CIN_CLE,CIN,65,3.6531049097217334,26.0,34.0,-0.3108499892726826,31.0,3.963954898994416,63,-1.5410846190383012,0.0
2011_01_CIN_CLE,CLE,68,-8.567468235593127,25.0,44.0,-6.054786699420378,24.0,-2.5126815361727495,63,-6.038941824608786,1.0
2011_01_DAL_NYJ,DAL,66,3.1661927416195574,27.0,43.0,7.842098838786729,23.0,-4.6759060971671715,60,9.47979637295673,3.0
2011_01_DAL_NYJ,NYJ,64,-4.559054293589599,24.0,49.0,-0.15969327980552483,15.0,-4.399361013784073,60,-10.563607526979341,2.0
2011_01_DET_TB,DET,70,7.723944671195344,33.0,34.0,15.08818694027082,36.0,-7.364242269075476,54,14.515058764349082,1.0
2011_01_DET_TB,TB,62,-5.544587428112678,26.0,51.0,0.9085876926414898,11.0,-6.453175120754167,26,-6.958897390241432,2.0
2011_01_IND_HOU,HOU,64,-1.6653120670777737,35.0,27.0,3.7688726245198083,37.0,-5.434184691597582,20,2.1161204030160476,3.0
