game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2014_01_BUF_CHI,BUF,00-0030526,E.Manuel,26,-0.5886,245.3132,22
2014_01_BUF_CHI,CHI,00-0024226,J.Cutler,51,0.0584,140.3522,49
2014_01_CAR_TB,CAR,00-0023645,D.Anderson,35,9.0009,314.3229,32
2014_01_CAR_TB,TB,00-0021206,J.McCown,40,-4.0139,17.6525,34
2014_01_CIN_BAL,BAL,00-0026158,J.Flacco,67,-3.5941,-737.1459,62
2014_01_CIN_BAL,CIN,00-0027973,A.Dalton,40,10.8878,-77.6803,38
2014_01_CLE_PIT,CLE,00-0026625,B.Hoyer,33,4.2878,-97.0273,30
2014_01_CLE_PIT,PIT,00-0022924,B.Roethlisberger,36,8.2813,258.0362,31
2014_01_CLE_PIT,PIT,00-0028954,R.Golden,1,3.7981,49.2481,1
2014_01_GB_SEA,GB,00-0023459,A.Rodgers,37,-5.0431,164.3544,33
2014_01_GB_SEA,SEA,00-0029263,R.Wilson,32,8.5914,237.1723,25
2014_01_IND_DEN,DEN,00-0010346,P.Manning,37,13.1392,-28.7147,36
2014_01_IND_DEN,IND,00-0029668,A.Luck,60,8.0857,62.5039,53
2014_01_JAX_PHI,JAX,00-0026197,C.Henne,46,-11.9517,-282.7078,42
2014_01_JAX_PHI,PHI,00-0029567,N.Foles,49,-10.9016,-47.8103,44
2014_01_MIN_STL,LA,00-0020679,S.Hill,14,-7.646,-59.649,13
2014_01_MIN_STL,LA,00-0028957,A.Davis,27,-10.4483,38.5476,23
2014_01_MIN_STL,MIN,00-0023662,M.Cassel,25,7.5308,-10.7308,24
2014_01_NE_MIA,MIA,00-0029701,R.Tannehill,33,-0.6898,-184.8622,32
2014_01_NE_MIA,NE,00-0019596,T.Brady,60,-12.6573,-483.0748,56
2014_01_NO_ATL,ATL,00-0026143,M.Ryan,46,24.1168,257.3773,42
2014_01_NO_ATL,NO,00-0020531,D.Brees,43,13.9063,-12.2631,42
2014_01_NYG_DET,DET,00-0026498,M.Stafford,35,23.4299,291.6589,30
2014_01_NYG_DET,NYG,00-0022803,E.Manning,35,-11.2475,-337.7584,32
2014_01_OAK_NYJ,LV,00-0031280,D.Carr,34,-6.0541,-228.4293,31
2014_01_OAK_NYJ,NYJ,00-0020245,M.Vick,1,-0.8893,-44.2691,1
2014_01_OAK_NYJ,NYJ,00-0030565,G.Smith,35,3.5298,327.6834,28
2014_01_SD_ARI,ARI,00-0021429,C.Palmer,43,7.7797,113.7623,36
2014_01_SD_ARI,LAC,00-0022942,P.Rivers,37,1.2178,-237.9303,36
2014_01_SF_DAL,DAL,00-0021678,T.Romo,40,-5.7032,-36.2995,37
