game_id,team,plays,epa,success,passPlays,passEPA,rushPlays,rushEPA,neutralPlays,neutralEPA,turnovers
2018_01_ATL_PHI,ATL,70,-14.68628363401384,24.0,52.0,-8.83068069282907,18.0,-5.85560294118477,70,-14.68628363401384,1.0
2018_01_ATL_PHI,PHI,71,-5.240690699154604,29.0,42.0,-8.755262994267605,29.0,3.514572295113001,71,-5.240690699154604,1.0
2018_01_BUF_BAL,BAL,80,4.143831253638849,32.0,45.0,7.523892487433399,35.0,-3.3800612337945495,26,8.252223344519734,1.0
2018_01_BUF_BAL,BUF,65,-39.95478822473331,11.0,44.0,-24.722063361687,21.0,-15.232724863046315,16,-13.510003483253834,2.0
2018_01_CHI_GB,CHI,70,-0.15301281887932117,31.0,46.0,-2.2183709470451474,24.0,2.065358128165826,54,1.1739060245148019,1.0
2018_01_CHI_GB,GB,60,-2.1059420304517413,25.0,43.0,1.6020249332797096,17.0,-3.707966963731451,39,-7.387865984346718,2.0
2018_01_CIN_IND,CIN,56,5.803742040639747,31.0,34.0,3.0602633970482316,22.0,2.7434786435915157,52,2.6657334249392193,2.0
2018_01_CIN_IND,IND,82,-6.927187657617448,38.0,60.0,0.2825352048665515,22.0,-7.209722862484,81,-6.775101185304062,2.0
2018_01_DAL_CAR,CAR,64,-4.311106014952995,31.0,34.0,-3.9424771242775023,30.0,-0.36862889067549265,48,-2.9883424575673416,1.0
2018_01_DAL_CAR,DAL,63,-8.792332245876315,23.0,44.0,-7.968537962190575,19.0,-0.8237942836857401,39,-8.396659542350797,1.0
2018_01_HOU_NE,HOU,73,-10.921371800183188,31.0,45.0,-3.972876023295903,28.0,-6.948495776887285,38,-11.914203013146398,2.0
2018_01_HOU_NE,NE,75,0.5435029759715184,29.0,43.0,5.343348934790118,32.0,-4.7998459588186,42,0.6385263681877404,2.0
2018_01_JAX_NYG,JAX,61,-3.789942960722855,24.0,36.0,-5.609288146954513,25.0,1.8193451862316579,58,-2.5851367735327395,1.0
2018_01_JAX_NYG,NYG,71,-15.143236199639688,22.0,47.0,-11.130027321412738,24.0,-4.01320887822695,71,-15.143236199639688,1.0
2018_01_KC_LAC,KC,56,10.474664692587506,24.0,30.0,12.643455825362874,26.0,-2.168791132775368,41,10.336966185592868,0.0
2018_01_KC_LAC,LAC,82,19.674144602918894,45.0,59.0,16.96023289821426,23.0,2.713911704704631,48,3.139567845817783,1.0
2018_01_LA_OAK,LA,62,13.051369492528194,31.0,36.0,11.434060378859563,26.0,1.6173091136686306,49,13.281562064463234,0.0
2018_01_LA_OAK,LV,70,-14.210597033570837,32.0,47.0,-13.222677355532385,23.0,-0.9879196780384518,59,-5.051403169827852,3.0
2018_01_NYJ_DET,DET,69,-25.898024142875848,29.0,56.0,-22.37580082860547,13.0,-3.522223314270377,39,-9.389131947223715,6.0
2018_01_NYJ_DET,NYJ,55,6.791854451978694,26.0,24.0,7.556015785492491,31.0,-0.7641613335137967,39,2.549011135140843,1.0
2018_01_PIT_CLE,CLE,87,-10.684345468005631,31.0,56.0,-9.345697906886926,31.0,-1.3386475611187052,70,-7.562587543856353,1.0
2018_01_PIT_CLE,PIT,83,-13.411593275069631,34.0,49.0,-4.229396289081218,34.0,-9.182196985988412,60,2.156198751838507,6.0
2018_01_SEA_DEN,DEN,74,-7.244626832667356,35.0,42.0,-3.214576132369777,32.0,-4.030050700297579,73,-5.954741090950639,3.0
2018_01_SEA_DEN,SEA,57,-5.807520088021111,21.0,42.0,3.2224903483202887,15.0,-9.0300104363414,55,-5.840231068615967,3.0
2018_01_SF_MIN,MIN,71,-13.786474710952389,25.0,43.0,0.00013954432877705258,28.0,-13.786614255281165,44,-0.39556020118099644,1.0
2018_01_SF_MIN,SF,66,-17.35971814129686,26.0,42.0,-6.944535509950461,24.0,-10.415182631346397,52,-28.208623205928113,4.0
2018_01_TB_NO,NO,64,11.96838969560868,39.0,49.0,19.038092215425493,15.0,-7.069702519816812,40,2.457851517723565,2.0
2018_01_TB_NO,TB,62,28.900599279068718,30.0,38.0,32.29419830767882,24.0,-3.393599028610102,46,23.42342110531616,0.0
2018_01_TEN_MIA,MIA,60,-3.943414204623022,27.0,32.0,0.5664320337934909,28.0,-4.509846238416513,54,-0.611820890565296,2.0
2018_01_TEN_MIA,TEN,68,-20.125169434373063,27.0,40.0,-18.204217879937758,28.0,-1.9209515544353053,58,-18.463082669324038,3.0
2018_01_WAS_ARI,ARI,52,-11.066188164593651,21.0,39.0,-13.364576223931973,13.0,2.298388059338322,13,-4.846622423036024,2.0
2018_01_WAS_ARI,WAS,78,14.079263982748323,43.0,39.0,11.884839034879057,39.0,2.1944249478692655,37,14.90792926697759,1.0
2018_02_ARI_LA,ARI,45,-18.74407737806905,11.0,30.0,-15.065899596665986,15.0,-3.6781777814030647,19,-6.079484991496429,1.0
2018_02_ARI_LA,LA,72,12.980023296495439,39.0,36.0,16.70628529679729,36.0,-3.726262000301853,33,7.1024457988713445,1.0
2018_02_BAL_CIN,BAL,83,-5.343642256987537,41.0,62.0,-2.7630270279268965,21.0,-2.5806152290606406,41,-10.967531484123342,3.0
2018_02_BAL_CIN,CIN,76,9.53209533729766,33.0,47.0,14.73040972316318,29.0,-5.198314385865521,30,7.974359600115865,0.0
2018_02_CAR_ATL,ATL,63,15.605996686172215,36.0,33.0,19.31779371423181,30.0,-3.711797028059596,46,17.10286587874732,1.0
2018_02_CAR_ATL,CAR,67,8.951329762171385,34.0,52.0,6.772918365136151,15.0,2.1784113970352337,39,-0.9521943877363683,1.0
