game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2023_01_ARI_WAS,ARI,00-0033949,J.Dobbs,33,-9.2397,60.9426,30
2023_01_ARI_WAS,WAS,00-0037077,S.Howell,39,-10.645,-200.0725,29
2023_01_BUF_NYJ,BUF,00-0034857,J.Allen,49,1.8577,305.3942,39
2023_01_BUF_NYJ,NYJ,00-0023459,A.Rodgers,2,-2.032,0.0,0
2023_01_BUF_NYJ,NYJ,00-0037013,Z.Wilson,24,-2.6268,115.5363,18
2023_01_CAR_ATL,ATL,00-0038122,D.Ridder,22,-4.4504,115.6696,18
2023_01_CAR_ATL,CAR,00-0039150,B.Young,42,-10.8976,-170.936,31
2023_01_CIN_CLE,CIN,00-0035100,J.Browning,1,-1.247,-36.4192,1
2023_01_CIN_CLE,CIN,00-0036442,J.Burrow,33,-18.6356,-546.2131,30
2023_01_CIN_CLE,CLE,00-0033537,D.Watson,35,-8.9466,-199.4664,29
2023_01_DAL_NYG,DAL,00-0033077,D.Prescott,24,4.1785,-244.2312,24
2023_01_DAL_NYG,DAL,00-0033662,C.Rush,1,-2.6017,-36.657,1
2023_01_DAL_NYG,NYG,00-0028118,T.Taylor,2,-0.5447,23.8677,2
2023_01_DAL_NYG,NYG,00-0035710,D.Jones,42,-19.9306,-360.9607,27
2023_01_DET_KC,DET,00-0033106,J.Goff,35,6.5609,-3.7027,32
2023_01_DET_KC,KC,00-0033873,P.Mahomes,45,-3.5289,-230.1399,37
2023_01_GB_CHI,CHI,00-0036945,J.Fields,49,-6.7851,-280.2808,36
2023_01_GB_CHI,GB,00-0036264,J.Love,30,16.6155,-148.939,27
2023_01_HOU_BAL,BAL,00-0034796,L.Jackson,31,-3.3593,239.0687,21
2023_01_HOU_BAL,HOU,00-0039163,C.Stroud,52,-11.9822,-196.4966,43
2023_01_JAX_IND,IND,00-0035289,G.Minshew II,2,-4.7546,-128.0944,2
2023_01_JAX_IND,IND,00-0039164,A.Richardson,45,-1.3221,-289.8573,37
2023_01_JAX_IND,JAX,00-0036971,T.Lawrence,35,-8.3507,166.1516,32
2023_01_LA_SEA,LA,00-0026498,M.Stafford,39,21.5339,-15.7593,37
2023_01_LA_SEA,SEA,00-0030565,G.Smith,29,-4.1382,-30.0716,24
2023_01_LV_DEN,DEN,00-0029263,R.Wilson,36,2.5443,478.6098,32
2023_01_LV_DEN,LV,00-0031345,J.Garoppolo,29,15.259,339.8649,26
2023_01_MIA_LAC,LAC,00-0036355,J.Herbert,40,0.8177,80.0899,31
2023_01_MIA_LAC,MIA,00-0036212,T.Tagovailoa,46,28.0227,31.8893,44
2023_01_PHI_NE,NE,00-0036972,M.Jones,59,-7.2515,-168.0562,54
2023_01_PHI_NE,PHI,00-0036389,J.Hurts,38,-3.4727,242.901,30
2023_01_SF_PIT,PIT,00-0038102,K.Pickett,51,-19.7239,93.425,45
2023_01_SF_PIT,SF,00-0037834,B.Purdy,34,9.022,87.931,28
2023_01_TB_MIN,MIN,00-0029604,K.Cousins,47,0.0204,219.6485,44
2023_01_TB_MIN,TB,00-0034855,B.Mayfield,38,-0.5398,-95.7085,32
2023_01_TEN_NO,NO,00-0031280,D.Carr,38,4.032,203.0397,33
2023_01_TEN_NO,TEN,00-0029701,R.Tannehill,40,-13.8797,-636.5565,33
2023_02_BAL_CIN,BAL,00-0034796,L.Jackson,40,12.6821,192.3751,33
2023_02_BAL_CIN,CIN,00-0036442,J.Burrow,43,1.615,92.3022,39
2023_02_CHI_TB,CHI,00-0036945,J.Fields,36,-7.7601,-295.1885,28
2023_02_CHI_TB,TB,00-0034855,B.Mayfield,38,14.0723,498.9491,32
2023_02_CLE_PIT,CLE,00-0033537,D.Watson,49,-14.4536,-300.9582,40
2023_02_CLE_PIT,PIT,00-0038102,K.Pickett,32,-7.7721,-444.1251,29
2023_02_GB_ATL,ATL,00-0038122,D.Ridder,38,3.9963,-122.5687,30
2023_02_GB_ATL,GB,00-0036264,J.Love,27,5.775,-296.8115,25
2023_02_IND_HOU,HOU,00-0039163,C.Stroud,52,6.7764,69.4867,43
2023_02_IND_HOU,IND,00-0035289,G.Minshew II,25,7.9933,306.1357,22
2023_02_IND_HOU,IND,00-0039164,A.Richardson,10,1.7329,-97.574,9
2023_02_KC_JAX,JAX,00-0034775,C.Kirk,1,-1.2399,13.0631,1
2023_02_KC_JAX,JAX,00-0036971,T.Lawrence,48,-12.3147,-509.1505,40
2023_02_KC_JAX,KC,00-0033873,P.Mahomes,45,13.9038,152.5448,40
2023_02_LAC_TEN,LAC,00-0036355,J.Herbert,45,10.3179,299.4068,39
2023_02_LAC_TEN,TEN,00-0029701,R.Tannehill,29,1.4568,394.3986,24
2023_02_LV_BUF,BUF,00-0034857,J.Allen,39,13.2176,543.3962,36
2023_02_LV_BUF,LV,00-0031345,J.Garoppolo,25,-2.4429,70.2715,23
2023_02_MIA_NE,MIA,00-0036212,T.Tagovailoa,32,11.0936,231.2318,29
2023_02_MIA_NE,NE,00-0036972,M.Jones,47,0.8486,312.5864,42
2023_02_MIN_PHI,MIN,00-0029604,K.Cousins,46,17.4813,352.0412,43
2023_02_MIN_PHI,PHI,00-0036389,J.Hurts,31,1.0713,291.7036,22
2023_02_NO_CAR,CAR,00-0039150,B.Young,40,-8.23,105.9854,31
2023_02_NO_CAR,NO,00-0031280,D.Carr,40,-2.1891,-64.8409,33
2023_02_NO_CAR,NO,00-0033357,T.Hill,1,0.5803,26.0273,1
2023_02_NYG_ARI,ARI,00-0033949,J.Dobbs,32,9.7786,135.216,29
2023_02_NYG_ARI,NYG,00-0035710,D.Jones,45,11.3659,212.5381,35
2023_02_NYJ_DAL,DAL,00-0033077,D.Prescott,40,12.1275,434.1008,37
2023_02_NYJ_DAL,NYJ,00-0037013,Z.Wilson,33,-17.3617,-469.5942,25
2023_02_SEA_DET,DET,00-0033106,J.Goff,37,8.1522,444.6604,34
2023_02_SEA_DET,SEA,00-0030565,G.Smith,44,13.804,582.0794,37
2023_02_SF_LA,LA,00-0026498,M.Stafford,59,-5.8699,-512.1547,52
2023_02_SF_LA,SF,00-0037834,B.Purdy,26,3.2599,40.1605,24
2023_02_WAS_DEN,DEN,00-0029263,R.Wilson,42,5.1075,68.677,27
2023_02_WAS_DEN,WAS,00-0037077,S.Howell,45,9.3264,303.5568,34
2023_03_ATL_DET,ATL,00-0038122,D.Ridder,46,-15.3084,-538.1075,38
2023_03_ATL_DET,DET,00-0033106,J.Goff,34,2.5964,100.9529,31
2023_03_BUF_WAS,BUF,00-0034857,J.Allen,35,12.3137,-99.0856,32
2023_03_BUF_WAS,WAS,00-0037077,S.Howell,39,-25.4763,0.6207,29
2023_03_CAR_SEA,CAR,00-0027973,A.Dalton,62,5.7833,-313.8616,57
2023_03_CAR_SEA,SEA,00-0030565,G.Smith,39,6.3265,113.3491,35
2023_03_CHI_KC,CHI,00-0036945,J.Fields,29,-14.2837,4.0256,20
2023_03_CHI_KC,KC,00-0027948,B.Gabbert,5,-6.706,-6.3462,5
2023_03_CHI_KC,KC,00-0033873,P.Mahomes,36,22.2544,263.6924,32
2023_03_DAL_ARI,ARI,00-0033949,J.Dobbs,24,3.6136,220.5786,21
2023_03_DAL_ARI,DAL,00-0033077,D.Prescott,45,-1.5811,-122.2503,37
2023_03_DEN_MIA,DEN,00-0029263,R.Wilson,39,2.2087,142.0569,36
2023_03_DEN_MIA,MIA,00-0034401,M.White,2,4.6902,82.2637,2
2023_03_DEN_MIA,MIA,00-0036212,T.Tagovailoa,26,26.3722,429.3283,26
2023_03_HOU_JAX,HOU,00-0039163,C.Stroud,31,15.3131,178.0569,29
2023_03_HOU_JAX,JAX,00-0033936,C.Beathard,2,0.4269,56.205,2
2023_03_HOU_JAX,JAX,00-0036971,T.Lawrence,43,1.1623,55.5015,38
2023_03_IND_BAL,BAL,00-0034796,L.Jackson,40,-3.0975,25.1751,30
2023_03_IND_BAL,IND,00-0035289,G.Minshew II,49,-8.4183,-135.6034,42
2023_03_LAC_MIN,LAC,00-0030279,K.Allen,1,3.9684,49.6832,1
2023_03_LAC_MIN,LAC,00-0036355,J.Herbert,49,22.2323,690.8997,47
2023_03_LAC_MIN,MIN,00-0029604,K.Cousins,55,4.1097,24.4546,48
2023_03_LA_CIN,CIN,00-0036442,J.Burrow,50,-6.5534,-578.8813,46
2023_03_LA_CIN,LA,00-0026498,M.Stafford,40,-5.8752,-202.0626,32
2023_03_NE_NYJ,NE,00-0036972,M.Jones,30,5.5912,-133.0738,27
2023_03_NE_NYJ,NYJ,00-0037013,Z.Wilson,39,-16.5575,-163.3328,28
2023_03_NO_GB,GB,00-0036264,J.Love,50,-0.3015,-327.7858,43
2023_03_NO_GB,NO,00-0031280,D.Carr,21,0.0745,165.7849,18
2023_03_NO_GB,NO,00-0031503,J.Winston,17,-2.5195,-85.1996,16
2023_03_NYG_SF,NYG,00-0028118,T.Taylor,2,-0.8406,-37.7178,1
2023_03_NYG_SF,NYG,00-0035710,D.Jones,35,-9.1308,14.109,31
2023_03_NYG_SF,SF,00-0037834,B.Purdy,39,16.4625,99.3504,34
2023_03_PHI_TB,PHI,00-0036389,J.Hurts,40,3.0753,58.2263,35
2023_03_PHI_TB,TB,00-0034855,B.Mayfield,29,0.402,-61.7363,25
2023_03_PIT_LV,LV,00-0031345,J.Garoppolo,50,-6.3222,-191.7097,44
2023_03_PIT_LV,PIT,00-0038102,K.Pickett,30,7.812,-273.4085,27
2023_03_TEN_CLE,CLE,00-0033537,D.Watson,37,12.3349,603.4342,31
